job_id,hacky_job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_resources
0,0,87cf57,0.000000,1,149.000000,1,0.000000,88.510000,88.510000,0.000000,88.510000,1.000000,8408.450000,0
1,10,87cf57,4.709164,2,399.000000,1,4.709164,265.800000,270.509164,0.000000,265.800000,1.000000,50502.000000,1-2
2,20,87cf57,16.003927,1,420.000000,1,16.003927,279.990000,295.993927,0.000000,279.990000,1.000000,26599.050000,3
3,30,87cf57,38.836285,4,96.000000,1,38.836285,35.932000,74.768285,0.000000,35.932000,1.000000,13654.160000,4-7
4,40,87cf57,54.195921,1,149.000000,1,54.195921,88.510000,142.705921,0.000000,88.510000,1.000000,8408.450000,8
5,50,87cf57,70.350749,1,420.000000,1,70.350749,279.990000,350.340749,0.000000,279.990000,1.000000,26599.050000,9
6,60,87cf57,95.448861,4,77.000000,1,95.448861,16.684000,112.132861,0.000000,16.684000,1.000000,6339.920000,0 4-6
7,70,87cf57,121.609395,2,87.000000,1,121.609395,26.481000,148.090395,0.000000,26.481000,1.000000,5031.390000,0 4
8,80,87cf57,126.478295,2,891.000000,1,126.478295,593.590000,720.068295,0.000000,593.590000,1.000000,112782.100000,5-6
9,90,87cf57,136.018440,4,436.000000,1,136.018440,290.530000,426.548440,0.000000,290.530000,1.000000,110401.400000,7 10-12
10,100,87cf57,142.901063,2,891.000000,1,142.901063,593.590000,736.491063,0.000000,593.590000,1.000000,112782.100000,8 13
11,110,87cf57,153.505641,8,109.000000,1,153.505641,48.800000,202.305641,0.000000,48.800000,1.000000,37088.000000,0 4 14-19
12,120,87cf57,164.476903,2,87.000000,1,164.476903,26.481000,190.957903,0.000000,26.481000,1.000000,5031.390000,20-21
13,130,87cf57,168.987800,1,70.000000,1,168.987800,9.257000,178.244800,0.000000,9.257000,1.000000,879.415000,22
14,140,87cf57,179.192932,2,87.000000,1,179.192932,26.481000,205.673932,0.000000,26.481000,1.000000,5031.390000,22-23
15,150,87cf57,193.418387,2,212.000000,1,193.418387,140.950000,334.368387,0.000000,140.950000,1.000000,26780.500000,20-21
16,160,87cf57,211.616998,2,123.000000,1,211.616998,62.080000,273.696998,0.000000,62.080000,1.000000,11795.200000,0 4
17,170,87cf57,221.353478,4,148.000000,1,221.353478,87.690000,309.043478,0.000000,87.690000,1.000000,33322.200000,14-17
18,180,87cf57,222.488483,4,436.000000,1,222.488483,290.530000,513.018483,0.000000,290.530000,1.000000,110401.400000,18-19 22-23
19,190,87cf57,240.874140,16,86.000000,1,309.043478,25.905000,334.948478,68.169338,94.074338,3.631513,39375.600000,0-4 14-17 25-31
20,200,87cf57,253.023655,1,149.000000,1,253.023655,88.510000,341.533655,0.000000,88.510000,1.000000,8408.450000,24
21,210,87cf57,265.241456,8,70.000000,1,270.509164,9.567000,280.076164,5.267708,14.834708,1.550612,7270.920000,1-2 25-30
22,220,87cf57,283.879268,2,212.000000,1,334.368387,140.950000,475.318387,50.489119,191.439119,1.358206,26780.500000,20-21
23,230,87cf57,290.504037,4,436.000000,1,334.948478,290.530000,625.478478,44.444442,334.974442,1.152977,110401.400000,0-3
24,240,87cf57,302.154936,4,96.000000,1,334.948478,35.932000,370.880478,32.793542,68.725542,1.912656,13654.160000,4 14-16
25,250,87cf57,308.931367,2,212.000000,1,334.948478,140.950000,475.898478,26.017111,166.967111,1.184584,26780.500000,17 25
26,260,87cf57,324.440409,2,399.000000,1,334.948478,265.800000,600.748478,10.508069,276.308069,1.039534,50502.000000,26-27
27,270,87cf57,336.459321,2,87.000000,1,336.459321,26.481000,362.940321,0.000000,26.481000,1.000000,5031.390000,28-29
28,280,87cf57,346.187288,1,420.000000,1,346.187288,279.990000,626.177288,0.000000,279.990000,1.000000,26599.050000,24
29,290,87cf57,358.858397,2,891.000000,1,358.858397,593.590000,952.448397,0.000000,593.590000,1.000000,112782.100000,9 30
30,300,87cf57,378.407292,1,420.000000,1,378.407292,279.990000,658.397292,0.000000,279.990000,1.000000,26599.050000,4
31,310,87cf57,389.081152,1,149.000000,1,389.081152,88.510000,477.591152,0.000000,88.510000,1.000000,8408.450000,14
32,320,87cf57,400.602796,1,580.000000,1,400.602796,386.480000,787.082796,0.000000,386.480000,1.000000,36715.600000,15
33,330,87cf57,419.567873,2,891.000000,1,419.567873,593.590000,1013.157873,0.000000,593.590000,1.000000,112782.100000,16 28
34,340,87cf57,435.468088,2,87.000000,1,435.468088,26.481000,461.949088,0.000000,26.481000,1.000000,5031.390000,7 10
35,350,87cf57,444.401409,4,436.000000,1,444.401409,290.530000,734.931409,0.000000,290.530000,1.000000,110401.400000,11-12 29 31
36,360,87cf57,453.545146,4,96.000000,1,475.318387,35.932000,511.250387,21.773241,57.705241,1.605957,13654.160000,7 10 20-21
37,370,87cf57,459.151851,4,64.000000,1,511.250387,3.993000,515.243387,52.098536,56.091536,14.047467,1517.340000,7 10 14 17
38,380,87cf57,486.299265,8,141.000000,1,515.243387,80.710000,595.953387,28.944122,109.654122,1.358619,61339.600000,7 10 14 17-19 22-23
39,390,87cf57,491.143085,2,67.000000,1,491.143085,6.609000,497.752085,0.000000,6.609000,1.000000,1255.710000,14 17
40,400,87cf57,496.124540,8,70.000000,1,595.953387,9.567000,605.520387,99.828847,109.395847,11.434707,7270.920000,7 10 14 17-21
41,410,87cf57,510.722252,2,67.000000,1,511.250387,6.609000,517.859387,0.528135,7.137135,1.079911,1255.710000,20-21
42,420,87cf57,530.087620,2,67.000000,1,530.087620,6.609000,536.696620,0.000000,6.609000,1.000000,1255.710000,20-21
43,430,87cf57,545.978099,2,67.000000,1,545.978099,6.609000,552.587099,0.000000,6.609000,1.000000,1255.710000,20-21
44,440,87cf57,559.091549,4,436.000000,1,605.520387,290.530000,896.050387,46.428838,336.958838,1.159807,110401.400000,7 10 14 17
45,450,87cf57,563.553433,2,123.000000,1,595.953387,62.080000,658.033387,32.399954,94.479954,1.521906,11795.200000,22-23
46,460,87cf57,571.931821,1,580.000000,1,571.931821,386.480000,958.411821,0.000000,386.480000,1.000000,36715.600000,25
47,470,87cf57,581.605922,2,67.000000,1,581.605922,6.609000,588.214922,0.000000,6.609000,1.000000,1255.710000,20-21
48,480,87cf57,603.766950,8,269.000000,1,625.478478,179.080000,804.558478,21.711529,200.791529,1.121239,136100.800000,0-3 18-21
49,490,87cf57,613.095100,1,149.000000,1,625.478478,88.510000,713.988478,12.383378,100.893378,1.139909,8408.450000,26
50,500,87cf57,627.753679,2,123.000000,1,627.753679,62.080000,689.833679,0.000000,62.080000,1.000000,11795.200000,24 27
51,510,87cf57,641.457422,2,399.000000,1,658.033387,265.800000,923.833387,16.575965,282.375965,1.062363,50502.000000,22-23
52,520,87cf57,665.603059,2,212.000000,1,689.833679,140.950000,830.783679,24.230620,165.180620,1.171909,26780.500000,4 24
53,530,87cf57,667.277360,2,67.000000,1,713.988478,6.609000,720.597478,46.711118,53.320118,8.067804,1255.710000,26-27
54,540,87cf57,683.308561,2,399.000000,1,720.068295,265.800000,985.868295,36.759734,302.559734,1.138298,50502.000000,5-6
55,550,87cf57,694.644349,1,149.000000,1,720.597478,88.510000,809.107478,25.953129,114.463129,1.293223,8408.450000,26
56,560,87cf57,708.052138,4,64.000000,1,734.931409,3.993000,738.924409,26.879271,30.872271,7.731598,1517.340000,11-12 29 31
57,570,87cf57,711.068088,2,67.000000,1,736.491063,6.609000,743.100063,25.422975,32.031975,4.846720,1255.710000,8 13
