time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0,0,0,0,31,1
4.70916,0,0,0,29,3
16.0039,0,0,0,28,4
38.8363,0,0,0,24,8
54.1959,0,0,0,23,9
70.3507,0,0,0,22,10
74.7683,0,0,0,26,6
88.51,0,0,0,27,5
95.4489,0,0,0,23,9
112.133,0,0,0,27,5
121.609,0,0,0,25,7
126.478,0,0,0,23,9
136.018,0,0,0,19,13
142.706,0,0,0,20,12
142.901,0,0,0,18,14
148.09,0,0,0,20,12
153.506,0,0,0,12,20
164.477,0,0,0,10,22
168.988,0,0,0,9,23
178.245,0,0,0,10,22
179.193,0,0,0,8,24
190.958,0,0,0,10,22
193.418,0,0,0,8,24
202.306,0,0,0,16,16
205.674,0,0,0,18,14
211.617,0,0,0,16,16
221.353,0,0,0,12,20
222.488,0,0,0,8,24
253.024,0,0,0,7,25
270.509,0,0,0,9,23
270.509,0,0,0,1,31
273.697,0,0,0,3,29
280.076,0,0,0,11,21
295.994,0,0,0,12,20
309.043,0,0,0,16,16
309.043,0,0,0,0,32
334.368,0,0,0,2,30
334.368,0,0,0,0,32
334.948,0,0,0,16,16
334.948,0,0,0,12,20
334.948,0,0,0,8,24
334.948,0,0,0,6,26
334.948,0,0,0,4,28
336.459,0,0,0,2,30
341.534,0,0,0,3,29
346.187,0,0,0,2,30
350.341,0,0,0,3,29
358.858,0,0,0,1,31
362.94,0,0,0,3,29
370.88,0,0,0,7,25
378.407,0,0,0,6,26
389.081,0,0,0,5,27
400.603,0,0,0,4,28
419.568,0,0,0,2,30
426.548,0,0,0,6,26
435.468,0,0,0,4,28
444.401,0,0,0,0,32
461.949,0,0,0,2,30
475.318,0,0,0,4,28
475.318,0,0,0,0,32
475.898,0,0,0,2,30
477.591,0,0,0,3,29
491.143,0,0,0,1,31
497.752,0,0,0,3,29
511.25,0,0,0,7,25
511.25,0,0,0,3,29
511.25,0,0,0,1,31
513.018,0,0,0,5,27
515.243,0,0,0,9,23
515.243,0,0,0,1,31
517.859,0,0,0,3,29
530.088,0,0,0,1,31
536.697,0,0,0,3,29
545.978,0,0,0,1,31
552.587,0,0,0,3,29
571.932,0,0,0,2,30
581.606,0,0,0,0,32
588.215,0,0,0,2,30
595.953,0,0,0,10,22
595.953,0,0,0,2,30
595.953,0,0,0,0,32
600.748,0,0,0,2,30
605.52,0,0,0,10,22
605.52,0,0,0,6,26
625.478,0,0,0,10,22
625.478,0,0,0,2,30
625.478,0,0,0,1,31
626.177,0,0,0,2,30
627.754,0,0,0,0,32
658.033,0,0,0,2,30
658.033,0,0,0,0,32
658.397,0,0,0,1,31
689.834,0,0,0,3,29
689.834,0,0,0,1,31
713.988,0,0,0,2,30
713.988,0,0,0,0,32
720.068,0,0,0,2,30
720.068,0,0,0,0,32
720.597,0,0,0,2,30
720.597,0,0,0,1,31
728.147,0,0,0,0,32
734.931,0,0,0,4,28
734.931,0,0,0,0,32
736.491,0,0,0,2,30
