time,energy,event_type,epower
0,0,s,NA
4.70916,14315.9,s,3040
16.0039,48651.9,s,3040
38.8363,118062,s,3040
54.1959,164756,s,3040
70.3507,213866,s,3040
74.7683,227296,e,3040
88.51,269070,e,3040
95.4489,290165,s,3040
112.133,340884,e,3040
121.609,369693,s,3040
126.478,384494,s,3040
136.018,413496,s,3040
142.706,433826,e,3040
142.901,434419,s,3040
148.09,450195,e,3040
153.506,466657,s,3040
164.477,500010,s,3040
168.988,513723,s,3040
178.245,541864,e,3040
179.193,544747,s,3040
190.958,580512,e,3040
193.418,587992,s,3040
202.306,615009,e,3040
205.674,625249,e,3040
211.617,643316,s,3040
221.353,672915,s,3040
222.488,676365,s,3040
253.024,769192,s,3040
270.509,822348,e,3040
270.509,822348,s,NA
273.697,832039,e,3040
280.076,851432,e,3040
295.994,899822,e,3040
309.043,939492,e,3040
309.043,939492,s,NA
334.368,1.01648e+06,e,3040
334.368,1.01648e+06,p,NA
334.948,1.01825e+06,e,3051.99
334.948,1.01825e+06,s,NA
334.948,1.01825e+06,s,NA
334.948,1.01825e+06,s,NA
334.948,1.01825e+06,s,NA
334.948,1.01825e+06,s,NA
336.459,1.02286e+06,s,3051.99
340.468,1.0351e+06,p,3051.99
341.534,1.03815e+06,e,2869.5
341.534,1.03815e+06,p,NA
347.634,1.05569e+06,p,2875.5
350.341,1.06323e+06,e,2784.25
350.341,1.06323e+06,p,NA
356.441,1.08025e+06,p,2790.25
362.94,1.09779e+06,e,2699
362.94,1.09779e+06,s,NA
370.88,1.11922e+06,e,2699
370.88,1.11922e+06,s,NA
378.407,1.13954e+06,s,2699
389.081,1.16835e+06,s,2699
400.603,1.19945e+06,s,2699
426.548,1.26947e+06,e,2699
426.548,1.26947e+06,p,NA
432.648,1.28608e+06,p,2722.99
475.898,1.38807e+06,e,2358
475.898,1.38807e+06,e,NA
475.898,1.38807e+06,s,NA
475.898,1.38807e+06,s,NA
477.591,1.39206e+06,e,2358
502.379,1.45051e+06,e,2358
502.379,1.45051e+06,s,NA
508.988,1.46609e+06,e,2358
510.722,1.47018e+06,s,2358
513.018,1.4756e+06,e,2358
513.018,1.4756e+06,p,NA
517.331,1.48587e+06,e,2381.99
519.118,1.49013e+06,p,2381.99
530.088,1.51225e+06,s,2017
536.697,1.52558e+06,e,2017
545.978,1.5443e+06,s,2017
552.587,1.55763e+06,e,2017
563.553,1.57975e+06,s,2017
600,1.65326e+06,p,2017
600.748,1.65478e+06,e,2023
600.748,1.65478e+06,s,NA
606.1,1.6656e+06,p,2023
607.357,1.66803e+06,e,1931.75
625.478,1.70304e+06,e,1931.75
625.478,1.70304e+06,s,NA
625.478,1.70304e+06,p,NA
625.633,1.70334e+06,e,1949.74
625.633,1.70334e+06,s,NA
631.578,1.71493e+06,p,1949.74
642.93,1.73396e+06,e,1676
642.93,1.73396e+06,s,NA
658.397,1.75988e+06,e,1676
694.644,1.82063e+06,s,1676
720.068,1.86324e+06,e,1676
720.068,1.86324e+06,s,NA
731.44,1.8823e+06,e,1676
731.44,1.8823e+06,s,NA
736.491,1.89077e+06,e,1676
736.491,1.89077e+06,s,NA
740.697,1.89781e+06,e,1676
743.1,1.90184e+06,e,1676
743.1,1.90184e+06,s,NA
749.709,1.91292e+06,e,1676
782.148,1.96729e+06,e,1676
782.148,1.96729e+06,s,NA
783.154,1.96897e+06,e,1676
783.154,1.96897e+06,s,NA
787.083,1.97556e+06,e,1676
801.669,2e+06,s,1676
818.08,2.02751e+06,e,1676
818.08,2.02751e+06,s,NA
822.073,2.0342e+06,e,1676
822.073,2.0342e+06,s,NA
822.073,2.0342e+06,s,NA
884.153,2.13825e+06,e,1676
884.153,2.13825e+06,s,NA
890.179,2.14835e+06,e,1676
890.179,2.14835e+06,s,NA
890.762,2.14932e+06,e,1676
890.762,2.14932e+06,s,NA
890.762,2.14932e+06,s,NA
900.019,2.16484e+06,e,1676
900.019,2.16484e+06,s,NA
909.276,2.18035e+06,e,1676
916.163,2.1919e+06,e,1676
916.163,2.1919e+06,s,NA
920.156,2.19859e+06,e,1676
920.156,2.19859e+06,s,NA
924.519,2.2059e+06,s,1676
933.776,2.22141e+06,e,1676
936.84,2.22655e+06,e,1676
963.023,2.27043e+06,e,1676
964.47,2.27286e+06,e,1676
964.47,2.27286e+06,s,NA
964.47,2.27286e+06,s,NA
979.272,2.29767e+06,e,1676
979.272,2.29767e+06,s,NA
988.529,2.31318e+06,e,1676
1011.96,2.35245e+06,e,1676
1011.96,2.35245e+06,s,NA
1045.18,2.40813e+06,e,1676
1045.18,2.40813e+06,s,NA
1045.18,2.40813e+06,s,NA
1048.95,2.41445e+06,e,1676
1048.95,2.41445e+06,s,NA
1054.75,2.42416e+06,e,1676
1054.75,2.42416e+06,s,NA
1054.75,2.42416e+06,s,NA
1054.75,2.42416e+06,s,NA
1069.49,2.44887e+06,e,1676
1069.49,2.44887e+06,s,NA
1170.17,2.61761e+06,e,1676
1195.7,2.6604e+06,e,1676
1195.7,2.6604e+06,e,NA
1195.7,2.6604e+06,s,NA
1195.7,2.6604e+06,s,NA
1202.31,2.67147e+06,e,1676
1202.31,2.67147e+06,s,NA
1210.44,2.6851e+06,e,1676
1210.44,2.6851e+06,s,NA
1232.01,2.72125e+06,s,1676
1272.52,2.78915e+06,e,1676
1272.52,2.78915e+06,s,NA
1279.13,2.80022e+06,e,1676
1279.13,2.80022e+06,s,NA
1285.74,2.8113e+06,e,1676
1285.74,2.8113e+06,s,NA
1312.22,2.85568e+06,e,1676
1312.22,2.85568e+06,s,NA
1312.22,2.85568e+06,s,NA
1314.75,2.85993e+06,e,1676
1319.82,2.86842e+06,s,1676
1321.47,2.8712e+06,e,1676
1321.47,2.8712e+06,e,NA
1325.17,2.87739e+06,e,1676
1326.43,2.8795e+06,e,1676
1326.43,2.8795e+06,s,NA
1326.43,2.8795e+06,s,NA
1336.65,2.89663e+06,e,1676
1343.11,2.90746e+06,e,1676
1343.11,2.90746e+06,s,NA
1343.26,2.9077e+06,e,1676
1345.28,2.91109e+06,e,1676
1345.28,2.91109e+06,s,NA
1347.1,2.91415e+06,e,1676
1347.1,2.91415e+06,s,NA
1347.1,2.91415e+06,s,NA
1350.95,2.9206e+06,e,1676
1398.44,3.00019e+06,e,1676
1414.99,3.02793e+06,s,1676
1441.47,3.07231e+06,e,1676
1488.05,3.15039e+06,e,1676
1488.05,3.15039e+06,s,NA
1512,3.19052e+06,e,1676
1512,3.19052e+06,s,NA
1524.36,3.21123e+06,e,1676
1524.36,3.21123e+06,s,NA
1524.36,3.21123e+06,s,NA
1524.36,3.21123e+06,s,NA
1606.42,3.34876e+06,e,1676
1606.42,3.34876e+06,s,NA
1612.9,3.35963e+06,e,1676
1612.9,3.35963e+06,s,NA
1612.9,3.35963e+06,s,NA
1622.16,3.37515e+06,e,1676
1622.16,3.37515e+06,e,NA
1622.16,3.37515e+06,s,NA
1631.42,3.39066e+06,e,1676
1676.3,3.46588e+06,e,1676
1676.3,3.46588e+06,s,NA
1676.3,3.46588e+06,s,NA
1778.58,3.63731e+06,e,1676
1778.58,3.63731e+06,s,NA
1778.58,3.63731e+06,s,NA
1838.38,3.73753e+06,s,1676
1867.09,3.78566e+06,e,1676
1867.09,3.78566e+06,s,NA
1886.41,3.81803e+06,e,1676
1898.48,3.83826e+06,e,1676
1898.48,3.83826e+06,s,NA
1919.53,3.87355e+06,e,1676
1919.53,3.87355e+06,s,NA
1924.96,3.88264e+06,e,1676
1924.96,3.88264e+06,s,NA
1926.14,3.88462e+06,e,1676
1926.14,3.88462e+06,s,NA
1926.89,3.88587e+06,e,1676
1942.1,3.91136e+06,e,1676
1951.44,3.92702e+06,e,1676
1951.44,3.92702e+06,s,NA
1952.62,3.929e+06,e,1676
1955.43,3.93371e+06,e,1676
1955.6,3.934e+06,e,1676
1955.6,3.934e+06,s,NA
1965.17,3.95003e+06,e,1676
1965.17,3.95003e+06,s,NA
1966.83,3.95281e+06,e,1676
1966.83,3.95281e+06,s,NA
1983.51,3.98077e+06,e,1676
1983.51,3.98077e+06,s,NA
2117.95,4.20609e+06,e,1676
2117.95,4.20609e+06,e,NA
2117.95,4.20609e+06,s,NA
2117.95,4.20609e+06,s,NA
2135.45,4.23542e+06,e,1676
2135.45,4.23542e+06,s,NA
2144.25,4.25017e+06,e,1676
2144.25,4.25017e+06,s,NA
2144.43,4.25047e+06,e,1676
2144.43,4.25047e+06,s,NA
2151.04,4.26155e+06,e,1676
2151.04,4.26155e+06,s,NA
2157.65,4.27262e+06,e,1676
2157.65,4.27262e+06,s,NA
2164.26,4.2837e+06,e,1676
2164.26,4.2837e+06,s,NA
2170.86,4.29478e+06,e,1676
2171.38,4.29564e+06,e,1676
2171.38,4.29564e+06,s,NA
2171.38,4.29564e+06,s,NA
2224.96,4.38544e+06,e,1676
2224.96,4.38544e+06,s,NA
2404.04,4.68558e+06,e,1676
2404.04,4.68558e+06,s,NA
2404.04,4.68558e+06,s,NA
2404.04,4.68558e+06,s,NA
2404.04,4.68558e+06,s,NA
2404.04,4.68558e+06,s,NA
2461.91,4.78257e+06,e,1676
2461.91,4.78257e+06,s,NA
2669.84,5.13106e+06,e,1676
2669.84,5.13106e+06,s,NA
2684.03,5.15484e+06,e,1676
2684.03,5.15484e+06,s,NA
2711.54,5.20094e+06,e,1676
2711.54,5.20094e+06,s,NA
2752.44,5.2695e+06,e,1676
2752.44,5.2695e+06,s,NA
2752.44,5.2695e+06,s,NA
2752.44,5.2695e+06,s,NA
2764.97,5.2905e+06,e,1676
2764.97,5.2905e+06,s,NA
2790.52,5.33332e+06,e,1676
2790.52,5.33332e+06,s,NA
2799.78,5.34883e+06,e,1676
2799.78,5.34883e+06,s,NA
2840.95,5.41784e+06,e,1676
2840.95,5.41784e+06,s,NA
2850.21,5.43336e+06,e,1676
2850.21,5.43336e+06,s,NA
2852.49,5.43718e+06,e,1676
2852.49,5.43718e+06,s,NA
2859.47,5.44887e+06,e,1676
2859.47,5.44887e+06,s,NA
2893.39,5.50573e+06,e,1676
2893.39,5.50573e+06,s,NA
2935.64,5.57654e+06,e,1676
2935.64,5.57654e+06,s,NA
2962.12,5.62092e+06,e,1676
2962.12,5.62092e+06,s,NA
2988.6,5.66531e+06,e,1676
2988.6,5.66531e+06,s,NA
2995.21,5.67638e+06,e,1676
2995.21,5.67638e+06,s,NA
2997.63,5.68044e+06,e,1676
2997.63,5.68044e+06,e,NA
2997.63,5.68044e+06,s,NA
2997.63,5.68044e+06,s,NA
3030.77,5.73598e+06,e,1676
3030.77,5.73598e+06,s,NA
3032.43,5.73876e+06,e,1676
3032.43,5.73876e+06,s,NA
3037.38,5.74706e+06,e,1676
3037.38,5.74706e+06,s,NA
3041.69,5.75428e+06,e,1676
3041.69,5.75428e+06,s,NA
3050.95,5.76979e+06,e,1676
3050.95,5.76979e+06,s,NA
3057.29,5.78043e+06,e,1676
3057.29,5.78043e+06,s,NA
3059.71,5.78448e+06,e,1676
3059.71,5.78448e+06,s,NA
3060.2,5.78531e+06,e,1676
3060.2,5.78531e+06,s,NA
3066.32,5.79556e+06,e,1676
3066.32,5.79556e+06,s,NA
3070.51,5.80258e+06,e,1676
3070.51,5.80258e+06,s,NA
3079.77,5.8181e+06,e,1676
3079.77,5.8181e+06,e,NA
3079.77,5.8181e+06,s,NA
3083.77,5.82481e+06,e,1676
3083.77,5.82481e+06,s,NA
3090.38,5.83589e+06,e,1676
3090.38,5.83589e+06,s,NA
3099.46,5.85111e+06,e,1676
3099.46,5.85111e+06,s,NA
3118.29,5.88266e+06,e,1676
3118.29,5.88266e+06,s,NA
3124.9,5.89373e+06,e,1676
3124.9,5.89373e+06,s,NA
3127.07,5.89737e+06,s,1676
3136.33,5.91289e+06,e,1676
3138.58,5.91667e+06,e,1676
3138.58,5.91667e+06,s,NA
3139.46,5.91814e+06,e,1676
3139.46,5.91814e+06,s,NA
3145.19,5.92775e+06,e,1676
3145.19,5.92775e+06,s,NA
3146.07,5.92921e+06,e,1676
3146.07,5.92921e+06,s,NA
3148.71,5.93365e+06,e,1676
3151.38,5.93811e+06,e,1676
3151.38,5.93811e+06,s,NA
3151.8,5.93882e+06,e,1676
3152.46,5.93993e+06,e,1676
3152.46,5.93993e+06,s,NA
3152.68,5.94029e+06,e,1676
3159.19,5.95121e+06,e,1676
3159.19,5.95121e+06,s,NA
3161.54,5.95515e+06,e,1676
3168.28,5.96644e+06,e,1676
3168.28,5.96644e+06,s,NA
3184.96,5.9944e+06,e,1676
3184.96,5.9944e+06,s,NA
3188.39,6.00016e+06,e,1676
3188.39,6.00016e+06,s,NA
3195.13,6.01144e+06,e,1676
3195.13,6.01144e+06,s,NA
3201.65,6.02237e+06,e,1676
3201.65,6.02237e+06,s,NA
3205.08,6.02812e+06,e,1676
3205.08,6.02812e+06,s,NA
3205.64,6.02906e+06,e,1676
3207.27,6.03179e+06,e,1676
3209.07,6.03481e+06,e,1676
3209.07,6.03481e+06,s,NA
3211.4,6.03872e+06,e,1676
3211.81,6.0394e+06,e,1676
3213.46,6.04216e+06,e,1676
3213.46,6.04216e+06,s,NA
3239.36,6.08558e+06,e,1676
3239.36,6.08558e+06,s,NA
3239.36,6.08558e+06,s,NA
3239.36,6.08558e+06,s,NA
3239.36,6.08558e+06,s,NA
3239.36,6.08558e+06,s,NA
3288.16,6.16737e+06,e,1676
3288.16,6.16737e+06,s,NA
3327.05,6.23255e+06,e,1676
3327.05,6.23255e+06,s,NA
3368.87,6.30264e+06,e,1676
3368.87,6.30264e+06,s,NA
3368.87,6.30264e+06,s,NA
3368.87,6.30264e+06,s,NA
3368.87,6.30264e+06,s,NA
3368.87,6.30264e+06,s,NA
3414.74,6.37951e+06,e,1676
3414.74,6.37951e+06,s,NA
3502.43,6.52648e+06,e,1676
3502.43,6.52648e+06,s,NA
3520.81,6.55729e+06,e,1676
3520.81,6.55729e+06,s,NA
3538.36,6.58671e+06,e,1676
3538.36,6.58671e+06,s,NA
3538.36,6.58671e+06,s,NA
3625.84,6.73332e+06,e,1676
3625.84,6.73332e+06,e,NA
3625.84,6.73332e+06,s,NA
3625.84,6.73332e+06,s,NA
3679.31,6.82294e+06,e,1676
3679.31,6.82294e+06,e,NA
3679.31,6.82294e+06,s,NA
3679.31,6.82294e+06,s,NA
3714.35,6.88166e+06,e,1676
3714.35,6.88166e+06,s,NA
3723.61,6.89718e+06,e,1676
3723.61,6.89718e+06,s,NA
3755.35,6.95038e+06,e,1676
3755.35,6.95038e+06,e,NA
3755.35,6.95038e+06,e,NA
3755.35,6.95038e+06,e,NA
3755.35,6.95038e+06,s,NA
3755.35,6.95038e+06,s,NA
3755.35,6.95038e+06,s,NA
3764.61,6.96589e+06,e,1676
3764.61,6.96589e+06,s,NA
3811.34,7.04422e+06,e,1676
3811.34,7.04422e+06,s,NA
3812.12,7.04552e+06,e,1676
3812.12,7.04552e+06,s,NA
3820.26,7.05917e+06,e,1676
3820.26,7.05917e+06,s,NA
3821.38,7.06103e+06,e,1676
3832.95,7.08043e+06,e,1676
3832.95,7.08043e+06,s,NA
3843.86,7.09872e+06,e,1676
3843.86,7.09872e+06,s,NA
3847.27,7.10444e+06,e,1676
3847.27,7.10444e+06,s,NA
3853.12,7.11423e+06,e,1676
3882.34,7.16322e+06,e,1676
3882.34,7.16322e+06,s,NA
3888.95,7.17429e+06,e,1676
3888.95,7.17429e+06,s,NA
3895.03,7.18448e+06,e,1676
3895.03,7.18448e+06,s,NA
3896.14,7.18634e+06,s,1676
3896.3,7.18661e+06,e,1676
3896.3,7.18661e+06,s,NA
3901.64,7.19556e+06,e,1676
3901.64,7.19556e+06,s,NA
3905.83,7.20258e+06,e,1676
3905.94,7.20277e+06,e,1676
3905.94,7.20277e+06,s,NA
3928.12,7.23994e+06,e,1676
3928.12,7.23994e+06,s,NA
3932.42,7.24715e+06,e,1676
3932.42,7.24715e+06,s,NA
3934.96,7.25141e+06,e,1676
3934.96,7.25141e+06,s,NA
3938.96,7.2581e+06,e,1676
3938.96,7.2581e+06,s,NA
3945.11,7.26842e+06,e,1676
3948.87,7.27471e+06,s,1676
3951.03,7.27834e+06,e,1676
3955.64,7.28606e+06,e,1676
3955.64,7.28606e+06,s,NA
3958.38,7.29066e+06,e,1676
3958.38,7.29066e+06,s,NA
3959.63,7.29275e+06,e,1676
3962.38,7.29735e+06,e,1676
3962.38,7.29735e+06,s,NA
3971.94,7.31338e+06,e,1676
3971.94,7.31338e+06,s,NA
3975.35,7.31909e+06,e,1676
3975.35,7.31909e+06,s,NA
3981.51,7.32942e+06,e,1676
3981.51,7.32942e+06,s,NA
3981.96,7.33017e+06,e,1676
3983.84,7.33332e+06,e,1676
3983.84,7.33332e+06,s,NA
3984.65,7.33468e+06,e,1676
3990.2,7.34399e+06,e,1676
3993.41,7.34936e+06,e,1676
3994.5,7.35119e+06,e,1676
3994.5,7.35119e+06,s,NA
4036.5,7.42158e+06,e,1676
4036.5,7.42158e+06,s,NA
4036.5,7.42158e+06,s,NA
4036.5,7.42158e+06,s,NA
4036.5,7.42158e+06,s,NA
4036.5,7.42158e+06,s,NA
4117.21,7.55685e+06,e,1676
4117.21,7.55685e+06,s,NA
4166.01,7.63864e+06,e,1676
4166.01,7.63864e+06,s,NA
4214.81,7.72043e+06,e,1676
4214.81,7.72043e+06,s,NA
4393.89,8.02057e+06,e,1676
4393.89,8.02057e+06,s,NA
4474.6,8.15584e+06,e,1676
4474.6,8.15584e+06,s,NA
4474.6,8.15584e+06,s,NA
4474.6,8.15584e+06,s,NA
4630.09,8.41644e+06,e,1676
4630.09,8.41644e+06,e,NA
4630.09,8.41644e+06,e,NA
4630.09,8.41644e+06,e,NA
4630.09,8.41644e+06,s,NA
4630.09,8.41644e+06,s,NA
4630.09,8.41644e+06,s,NA
4630.09,8.41644e+06,s,NA
4740.4,8.60132e+06,e,1676
4740.4,8.60132e+06,e,NA
4740.4,8.60132e+06,s,NA
4740.4,8.60132e+06,s,NA
4740.4,8.60132e+06,s,NA
4747.01,8.6124e+06,e,1676
4747.01,8.6124e+06,s,NA
4753.62,8.62347e+06,e,1676
4753.62,8.62347e+06,s,NA
4753.62,8.62347e+06,s,NA
4765.13,8.64277e+06,e,1676
4765.13,8.64277e+06,s,NA
4771.04,8.65267e+06,e,1676
4771.04,8.65267e+06,e,NA
4771.04,8.65267e+06,e,NA
4771.04,8.65267e+06,e,NA
4771.04,8.65267e+06,s,NA
4771.04,8.65267e+06,s,NA
4771.04,8.65267e+06,s,NA
4771.04,8.65267e+06,s,NA
4777.65,8.66375e+06,e,1676
4777.65,8.66375e+06,s,NA
4801.06,8.70299e+06,e,1676
4801.06,8.70299e+06,s,NA
4805.06,8.70968e+06,e,1676
4805.06,8.70968e+06,s,NA
4821.74,8.73764e+06,e,1676
4821.74,8.73764e+06,s,NA
4821.74,8.73764e+06,s,NA
4821.74,8.73764e+06,s,NA
4828.35,8.74872e+06,e,1676
4828.35,8.74872e+06,s,NA
4828.35,8.74872e+06,s,NA
4828.91,8.74966e+06,e,1676
4828.91,8.74966e+06,e,NA
4828.91,8.74966e+06,s,NA
4831,8.75316e+06,e,1676
4831,8.75316e+06,e,NA
4831,8.75316e+06,s,NA
4833.12,8.75672e+06,e,1676
4833.12,8.75672e+06,e,NA
4833.12,8.75672e+06,e,NA
4835.52,8.76074e+06,e,1676
4837.61,8.76423e+06,e,1676
4837.61,8.76423e+06,e,NA
4837.61,8.76423e+06,e,NA
4839.73,8.76779e+06,e,1676
4842.13,8.77182e+06,e,1676
4842.13,8.77182e+06,e,NA
4842.13,8.77182e+06,s,NA
4937.69,8.93197e+06,e,1676
4937.69,8.93197e+06,s,NA
4948.04,8.94931e+06,e,1676
4948.04,8.94931e+06,s,NA
4948.04,8.94931e+06,s,NA
4948.04,8.94931e+06,s,NA
4948.04,8.94931e+06,s,NA
4948.04,8.94931e+06,s,NA
4948.04,8.94931e+06,s,NA
4948.04,8.94931e+06,s,NA
4996.84,9.0311e+06,e,1676
4996.84,9.0311e+06,s,NA
4996.84,9.0311e+06,s,NA
4996.84,9.0311e+06,s,NA
4996.84,9.0311e+06,s,NA
4996.84,9.0311e+06,s,NA
5276.83,9.50037e+06,e,1676
5276.83,9.50037e+06,s,NA
5334.52,9.59705e+06,e,1676
5334.52,9.59705e+06,e,NA
5334.52,9.59705e+06,e,NA
5334.52,9.59705e+06,e,NA
5334.52,9.59705e+06,s,NA
5334.52,9.59705e+06,s,NA
5334.52,9.59705e+06,s,NA
5383.32,9.67884e+06,e,1676
5383.32,9.67884e+06,s,NA
5396.6,9.7011e+06,e,1676
5396.6,9.7011e+06,s,NA
5403.2,9.71218e+06,e,1676
5403.2,9.71218e+06,s,NA
5409.81,9.72325e+06,e,1676
5409.81,9.72325e+06,s,NA
5409.81,9.72325e+06,s,NA
5419.07,9.73877e+06,e,1676
5419.07,9.73877e+06,e,NA
5423.03,9.7454e+06,e,1676
5423.03,9.7454e+06,e,NA
5423.03,9.7454e+06,s,NA
5541.63,9.94417e+06,e,1676
5541.63,9.94417e+06,e,NA
5541.63,9.94417e+06,s,NA
5541.63,9.94417e+06,s,NA
5556.82,9.96963e+06,e,1676
5556.82,9.96963e+06,s,NA
5590.43,1.0026e+07,e,1676
5590.43,1.0026e+07,e,NA
5590.43,1.0026e+07,e,NA
5590.43,1.0026e+07,s,NA
5590.43,1.0026e+07,s,NA
5663.31,1.01481e+07,e,1676
5663.31,1.01481e+07,s,NA
5682.58,1.01804e+07,e,1676
5682.58,1.01804e+07,e,NA
5682.58,1.01804e+07,s,NA
5682.58,1.01804e+07,s,NA
5689.18,1.01915e+07,e,1676
5689.18,1.01915e+07,e,NA
5689.18,1.01915e+07,s,NA
5713.56,1.02323e+07,e,1676
5713.56,1.02323e+07,s,NA
5801.25,1.03793e+07,e,1676
5801.25,1.03793e+07,s,NA
5801.25,1.03793e+07,s,NA
5880.96,1.05129e+07,e,1676
5880.96,1.05129e+07,s,NA
5897.64,1.05408e+07,e,1676
5897.64,1.05408e+07,s,NA
5897.64,1.05408e+07,s,NA
5924.12,1.05852e+07,e,1676
5924.12,1.05852e+07,e,NA
5924.12,1.05852e+07,s,NA
5924.12,1.05852e+07,s,NA
5942.2,1.06155e+07,e,1676
5942.2,1.06155e+07,e,NA
5942.2,1.06155e+07,s,NA
5942.2,1.06155e+07,s,NA
5943.3,1.06174e+07,e,1676
5943.3,1.06174e+07,e,NA
5943.3,1.06174e+07,s,NA
5943.3,1.06174e+07,s,NA
5948.8,1.06266e+07,e,1676
5948.8,1.06266e+07,e,NA
5950.6,1.06296e+07,e,1676
5950.6,1.06296e+07,e,NA
5950.6,1.06296e+07,s,NA
5960.17,1.06456e+07,e,1676
5960.17,1.06456e+07,s,NA
5960.17,1.06456e+07,s,NA
5979.71,1.06784e+07,e,1676
5979.71,1.06784e+07,s,NA
5979.71,1.06784e+07,s,NA
6112.11,1.09003e+07,e,1676
6112.11,1.09003e+07,s,NA
6112.11,1.09003e+07,s,NA
6184.02,1.10208e+07,e,1676
6184.02,1.10208e+07,s,NA
6245.51,1.11239e+07,e,1676
6246.1,1.11249e+07,e,1676
6246.1,1.11249e+07,s,NA
6250.7,1.11326e+07,e,1676
6250.7,1.11326e+07,s,NA
6253.06,1.11365e+07,e,1676
6253.06,1.11365e+07,s,NA
6315.14,1.12406e+07,e,1676
6315.14,1.12406e+07,s,NA
6315.14,1.12406e+07,s,NA
6324.4,1.12561e+07,e,1676
6324.4,1.12561e+07,e,NA
6324.4,1.12561e+07,s,NA
6329.78,1.12651e+07,e,1676
6329.78,1.12651e+07,e,NA
6329.78,1.12651e+07,s,NA
6329.78,1.12651e+07,s,NA
6331,1.12672e+07,e,1676
6333.79,1.12718e+07,e,1676
6333.79,1.12718e+07,s,NA
6333.79,1.12718e+07,s,NA
6338.39,1.12795e+07,e,1676
6338.39,1.12795e+07,s,NA
6338.39,1.12795e+07,s,NA
6418.29,1.14135e+07,e,1676
6418.29,1.14135e+07,s,NA
6479.34,1.15158e+07,e,1676
6479.34,1.15158e+07,e,NA
6479.34,1.15158e+07,s,NA
6479.34,1.15158e+07,s,NA
6485.73,1.15265e+07,e,1676
6485.73,1.15265e+07,s,NA
6485.73,1.15265e+07,s,NA
6485.73,1.15265e+07,s,NA
6573.3,1.16733e+07,e,1676
6573.3,1.16733e+07,s,NA
6574.24,1.16748e+07,e,1676
6574.24,1.16748e+07,e,NA
6574.24,1.16748e+07,s,NA
6574.24,1.16748e+07,s,NA
6599.59,1.17173e+07,e,1676
6599.59,1.17173e+07,s,NA
6609.77,1.17344e+07,e,1676
6609.77,1.17344e+07,s,NA
6620.29,1.1752e+07,e,1676
6620.29,1.1752e+07,e,NA
6620.29,1.1752e+07,s,NA
6620.29,1.1752e+07,s,NA
6662.75,1.18232e+07,e,1676
6662.75,1.18232e+07,e,NA
6662.75,1.18232e+07,s,NA
6662.75,1.18232e+07,s,NA
6672,1.18387e+07,e,1676
6672,1.18387e+07,s,NA
6681.26,1.18542e+07,e,1676
6681.26,1.18542e+07,s,NA
6690.52,1.18697e+07,e,1676
6690.52,1.18697e+07,s,NA
6698.28,1.18827e+07,e,1676
6698.28,1.18827e+07,s,NA
6705.7,1.18952e+07,e,1676
6705.7,1.18952e+07,s,NA
6714.25,1.19095e+07,e,1676
6714.25,1.19095e+07,s,NA
6751.26,1.19715e+07,e,1676
6751.26,1.19715e+07,s,NA
6751.53,1.1972e+07,e,1676
6751.53,1.1972e+07,s,NA
6761.24,1.19882e+07,e,1676
6761.24,1.19882e+07,e,NA
6761.24,1.19882e+07,s,NA
6761.24,1.19882e+07,s,NA
6779.03,1.20181e+07,e,1676
6779.03,1.20181e+07,s,NA
6786.79,1.20311e+07,e,1676
6786.79,1.20311e+07,s,NA
6804.77,1.20612e+07,e,1676
6804.77,1.20612e+07,s,NA
6813.61,1.2076e+07,e,1676
6813.61,1.2076e+07,s,NA
6823.32,1.20923e+07,e,1676
6823.32,1.20923e+07,e,NA
6823.32,1.20923e+07,s,NA
6823.32,1.20923e+07,s,NA
6839.77,1.21199e+07,e,1676
6839.77,1.21199e+07,s,NA
6840.09,1.21204e+07,e,1676
6840.09,1.21204e+07,s,NA
6846.65,1.21314e+07,e,1676
6846.65,1.21314e+07,s,NA
6855.2,1.21457e+07,e,1676
6855.2,1.21457e+07,s,NA
6861.81,1.21568e+07,e,1676
6861.81,1.21568e+07,s,NA
6865.39,1.21628e+07,e,1676
6865.39,1.21628e+07,s,NA
6867.54,1.21664e+07,e,1676
6867.54,1.21664e+07,s,NA
6871.99,1.21739e+07,e,1676
6871.99,1.21739e+07,s,NA
6873.13,1.21758e+07,e,1676
6873.13,1.21758e+07,s,NA
6875.3,1.21794e+07,e,1676
6875.3,1.21794e+07,s,NA
6876.79,1.21819e+07,e,1676
6876.79,1.21819e+07,s,NA
6878.6,1.21849e+07,e,1676
6878.6,1.21849e+07,s,NA
6884.55,1.21949e+07,e,1676
6885.21,1.2196e+07,e,1676
6885.21,1.2196e+07,s,NA
6885.4,1.21963e+07,e,1676
