time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0,0,0,0,31,1
4.70916,0,0,0,29,3
16.0039,0,0,0,28,4
38.8363,0,0,0,24,8
54.1959,0,0,0,23,9
70.3507,0,0,0,22,10
74.7683,0,0,0,26,6
88.51,0,0,0,27,5
95.4489,0,0,0,23,9
112.133,0,0,0,27,5
121.609,0,0,0,25,7
126.478,0,0,0,23,9
136.018,0,0,0,19,13
142.706,0,0,0,20,12
142.901,0,0,0,18,14
148.09,0,0,0,20,12
153.506,0,0,0,12,20
164.477,0,0,0,10,22
168.988,0,0,0,9,23
178.245,0,0,0,10,22
179.193,0,0,0,8,24
190.958,0,0,0,10,22
193.418,0,0,0,8,24
202.306,0,0,0,16,16
205.674,0,0,0,18,14
211.617,0,0,0,16,16
221.353,0,0,0,12,20
222.488,0,0,0,8,24
253.024,0,0,0,7,25
270.509,0,0,0,9,23
270.509,0,0,0,1,31
273.697,0,0,0,3,29
280.076,0,0,0,11,21
295.994,0,0,0,12,20
309.043,0,0,0,16,16
309.043,0,0,0,0,32
334.368,0,0,0,2,30
334.368,0,0,2,0,30
334.948,0,0,2,16,14
334.948,0,0,2,14,16
334.948,0,0,2,12,18
334.948,0,0,2,8,22
334.948,0,0,2,4,26
334.948,0,0,2,2,28
336.459,0,0,2,0,30
340.468,2,0,0,0,30
341.534,2,0,0,1,29
341.534,2,0,1,0,29
347.634,3,0,0,0,29
350.341,3,0,0,1,28
350.341,3,0,1,0,28
356.441,4,0,0,0,28
362.94,4,0,0,2,26
362.94,4,0,0,1,27
370.88,4,0,0,5,23
370.88,4,0,0,3,25
378.407,4,0,0,2,26
389.081,4,0,0,1,27
400.603,4,0,0,0,28
426.548,4,0,0,4,24
426.548,4,0,4,0,24
432.648,8,0,0,0,24
475.898,8,0,0,2,22
475.898,8,0,0,4,20
475.898,8,0,0,2,22
475.898,8,0,0,0,24
477.591,8,0,0,1,23
502.379,8,0,0,3,21
502.379,8,0,0,1,23
508.988,8,0,0,3,21
510.722,8,0,0,1,23
513.018,8,0,0,5,19
513.018,8,0,4,1,19
517.331,8,0,4,3,17
519.118,12,0,0,3,17
530.088,12,0,0,1,19
536.697,12,0,0,3,17
545.978,12,0,0,1,19
552.587,12,0,0,3,17
563.553,12,0,0,1,19
600,12,0,1,0,19
600.748,12,0,1,2,17
600.748,12,0,1,0,19
606.1,13,0,0,0,19
607.357,13,0,0,2,17
625.478,13,0,0,6,13
625.478,13,0,0,5,14
625.478,13,0,3,2,14
625.633,13,0,3,4,12
625.633,13,0,3,0,16
631.578,16,0,0,0,16
642.93,16,0,0,1,15
642.93,16,0,0,0,16
658.397,16,0,0,1,15
694.644,16,0,0,0,16
720.068,16,0,0,2,14
720.068,16,0,0,0,16
731.44,16,0,0,1,15
731.44,16,0,0,0,16
736.491,16,0,0,2,14
736.491,16,0,0,0,16
740.697,16,0,0,1,15
743.1,16,0,0,3,13
743.1,16,0,0,1,15
