date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
0,0,0,0
0,0,0,0
4.70916,0,0,0
4.70916,0,0,0
16.0039,0,0,0
16.0039,0,0,0
38.8363,0,0,0
38.8363,0,0,0
54.1959,0,0,0
54.1959,0,0,0
70.3507,0,0,0
70.3507,0,0,0
74.7683,0,0,0
74.7683,0,0,0
88.51,0,0,0
88.51,0,0,0
95.4489,0,0,0
95.4489,0,0,0
112.133,0,0,0
112.133,0,0,0
121.609,0,0,0
121.609,0,0,0
126.478,0,0,0
126.478,0,0,0
136.018,0,0,0
136.018,0,0,0
142.706,0,0,0
142.706,0,0,0
142.901,0,0,0
142.901,0,0,0
148.09,0,0,0
148.09,0,0,0
153.506,0,0,0
153.506,0,0,0
164.477,0,0,0
164.477,0,0,0
168.988,0,0,0
168.988,0,0,0
178.245,0,0,0
178.245,0,0,0
179.193,0,0,0
179.193,0,0,0
190.958,0,0,0
190.958,0,0,0
193.418,0,0,0
193.418,0,0,0
202.306,0,0,0
202.306,0,0,0
205.674,0,0,0
205.674,0,0,0
211.617,0,0,0
211.617,0,0,0
221.353,0,0,0
221.353,0,0,0
222.488,0,0,0
222.488,0,0,0
240.874,0,0,0
240.874,1,1456,156.243
253.024,1,1456,151.036
253.024,1,1456,197.226
265.241,1,1456,213.517
265.241,2,2056,261.107
270.509,2,2056,257.683
270.509,1,1456,243.863
273.697,1,1456,240.835
273.697,1,1456,234.243
280.076,1,1456,228.82
280.076,1,1456,122.207
283.879,1,1456,121.193
283.879,2,1890,222.636
290.504,2,1890,219.655
290.504,3,3654,304.298
295.994,3,3654,301.324
295.994,3,3654,295.282
300,3,3654,246.963
300,3,3654,337.963
302.155,3,3654,337.425
302.155,4,4058,362.675
308.931,4,4058,360.981
308.931,5,4492,388.106
309.043,5,4492,388.077
309.043,4,3036,307.857
324.44,4,3036,292.46
324.44,5,3844,342.978
334.368,5,3844,333.05
334.368,5,3844,333.05
334.948,5,3844,332.47
334.948,0,0,0
336.459,0,0,0
336.459,0,0,0
340.468,0,0,0
340.468,0,0,0
341.534,0,0,0
341.534,0,0,0
346.187,0,0,0
346.187,1,425,173.263
347.634,1,425,171.817
347.634,1,425,171.817
350.341,1,425,169.11
350.341,1,425,169.11
356.441,1,425,163.01
356.441,1,425,163.01
358.858,1,425,160.592
358.858,2,2217,374.147
362.94,2,2217,370.065
362.94,1,1792,382.896
