time,energy,event_type,epower
0,0,p,NA
6.1,19714.6,p,3231.9
6.1,19714.6,p,NA
6.1,19714.6,p,NA
16.0039,27377.2,p,773.698
38.8363,55584.2,p,1235.4
54.1959,88742.4,p,2158.79
60,107302,p,3197.61
70.3507,146373,p,3774.73
157.62,495937,p,4005.58
157.62,495937,p,NA
157.62,495937,s,NA
157.62,495937,s,NA
157.62,495937,s,NA
167.524,534412,p,3884.88
167.524,534412,s,NA
190.356,620358,p,3764.19
190.356,620358,s,NA
190.356,620358,s,NA
190.356,620358,s,NA
190.356,620358,s,NA
203.456,666505,e,3522.79
203.456,666505,s,NA
205.716,674466,p,3522.79
205.716,674466,s,NA
205.716,674466,s,NA
207.04,678772,e,3251.22
207.04,678772,s,NA
211.52,693337,p,3251.22
211.52,693337,s,NA
211.52,693337,s,NA
211.52,693337,s,NA
216.837,709822,e,3100.35
216.837,709822,s,NA
220.777,722037,e,3100.35
220.777,722037,s,NA
221.871,725428,p,3100.35
221.871,725428,p,NA
227.971,744045,p,3051.99
238.001,772827,e,2869.5
238.001,772827,e,NA
238.001,772827,s,NA
246.13,796153,e,2869.5
253.024,815934,p,2869.5
255.84,824342,e,2984.92
255.84,824342,s,NA
255.84,824342,s,NA
278.866,893073,e,2984.92
282.857,904985,e,2984.92
283.879,908036,s,2984.92
302.155,962587,s,2984.92
325.691,1.03284e+06,e,2984.92
325.691,1.03284e+06,s,NA
336.459,1.06498e+06,s,2984.92
338.087,1.06984e+06,e,2984.92
344.35,1.08854e+06,e,2984.92
346.187,1.09402e+06,p,2984.92
357.787,1.12998e+06,e,3100.35
357.787,1.12998e+06,s,NA
362.94,1.14596e+06,e,3100.35
367.354,1.15965e+06,e,3100.35
404.544,1.27495e+06,p,3100.35
423.42,1.3329e+06,e,3070.17
424.829,1.33723e+06,e,3070.17
437.61,1.37647e+06,e,3070.17
437.61,1.37647e+06,s,NA
463.515,1.456e+06,e,3070.17
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
463.515,1.456e+06,s,NA
466.641,1.4656e+06,e,3070.17
470.346,1.47697e+06,e,3070.17
489.996,1.5373e+06,e,3070.17
489.996,1.5373e+06,s,NA
496.246,1.55649e+06,e,3070.17
496.246,1.55649e+06,s,NA
497.707,1.56097e+06,p,3070.17
497.707,1.56097e+06,s,NA
504.316,1.58107e+06,e,3040
504.316,1.58107e+06,p,NA
510.416,1.59968e+06,p,3051.99
510.722,1.60056e+06,p,2869.5
532.178,1.66708e+06,e,3100.35
532.178,1.66708e+06,s,NA
536.171,1.67946e+06,e,3100.35
536.171,1.67946e+06,s,NA
536.171,1.67946e+06,s,NA
542.78,1.69995e+06,e,3100.35
542.78,1.69995e+06,e,NA
545.978,1.70987e+06,s,3100.35
546.37,1.71108e+06,e,3100.35
552.025,1.72861e+06,e,3100.35
552.587,1.73036e+06,e,3100.35
552.587,1.73036e+06,s,NA
571.932,1.79033e+06,s,3100.35
633.297,1.98059e+06,e,3100.35
633.297,1.98059e+06,s,NA
642.864,2.01025e+06,e,3100.35
642.864,2.01025e+06,s,NA
642.864,2.01025e+06,s,NA
642.864,2.01025e+06,s,NA
649.473,2.03074e+06,e,3100.35
649.473,2.03074e+06,s,NA
662.242,2.07033e+06,p,3100.35
662.242,2.07033e+06,s,NA
694.644,2.16883e+06,s,3040
704.944,2.20014e+06,e,3040
704.944,2.20014e+06,s,NA
711.553,2.22023e+06,e,3040
711.553,2.22023e+06,s,NA
718.162,2.24032e+06,e,3040
724.322,2.25905e+06,e,3040
724.322,2.25905e+06,s,NA
728.315,2.27119e+06,e,3040
728.315,2.27119e+06,s,NA
729.315,2.27423e+06,e,3040
737.572,2.29933e+06,e,3040
737.983,2.30058e+06,e,3040
743.505,2.31736e+06,e,3040
743.505,2.31736e+06,e,NA
743.505,2.31736e+06,s,NA
754.045,2.34941e+06,e,3040
754.045,2.34941e+06,s,NA
754.045,2.34941e+06,s,NA
780.526,2.42991e+06,e,3040
780.526,2.42991e+06,s,NA
780.526,2.42991e+06,s,NA
783.154,2.4379e+06,e,3040
783.154,2.4379e+06,s,NA
797.046,2.48013e+06,e,3040
797.046,2.48013e+06,s,NA
799.306,2.487e+06,e,3040
799.306,2.487e+06,p,NA
805.406,2.50562e+06,p,3051.99
805.406,2.50562e+06,p,NA
806.289,2.50825e+06,p,2984.92
842.606,2.62085e+06,e,3100.35
842.606,2.62085e+06,s,NA
842.606,2.62085e+06,p,NA
848.706,2.6398e+06,p,3106.35
849.995,2.64368e+06,e,3015.1
849.995,2.64368e+06,s,NA
894.995,2.77936e+06,e,3015.1
894.995,2.77936e+06,s,NA
901.604,2.79929e+06,e,3015.1
901.604,2.79929e+06,s,NA
901.604,2.79929e+06,s,NA
910.861,2.8272e+06,e,3015.1
910.861,2.8272e+06,s,NA
922.585,2.86255e+06,e,3015.1
922.585,2.86255e+06,s,NA
922.585,2.86255e+06,s,NA
922.585,2.86255e+06,s,NA
924.104,2.86713e+06,e,3015.1
924.104,2.86713e+06,s,NA
924.519,2.86838e+06,s,3015.1
931.116,2.88827e+06,e,3015.1
931.842,2.89046e+06,e,3015.1
933.394,2.89514e+06,e,3015.1
933.776,2.89629e+06,e,3015.1
939.269,2.91285e+06,e,3015.1
955.76,2.96258e+06,s,3015.1
956.926,2.96609e+06,p,3015.1
957.809,2.96873e+06,p,2984.92
957.809,2.96873e+06,p,NA
958.412,2.97054e+06,e,3008.72
958.412,2.97054e+06,p,NA
963.909,2.98711e+06,p,3014.72
964.512,2.98843e+06,p,2193.5
967.053,2.99378e+06,p,2102.25
975.146,3.01172e+06,p,2217.67
990.114,3.04837e+06,e,2448.52
990.114,3.04837e+06,s,NA
990.114,3.04837e+06,p,NA
994.423,3.05942e+06,p,2563.95
995.991,3.0638e+06,p,2794.8
999.371,3.07403e+06,e,3025.65
999.371,3.07403e+06,s,NA
999.371,3.07403e+06,p,NA
1019.84,3.13834e+06,e,3141.07
1019.84,3.13834e+06,s,NA
1046.33,3.22152e+06,e,3141.07
1057.1,3.25538e+06,e,3141.07
1057.1,3.25538e+06,e,NA
1057.1,3.25538e+06,s,NA
1057.1,3.25538e+06,s,NA
1062.85,3.27341e+06,e,3141.07
1063.53,3.27557e+06,e,3141.07
1063.53,3.27557e+06,s,NA
1065.05,3.28035e+06,e,3141.07
1065.05,3.28035e+06,s,NA
1073.79,3.30778e+06,e,3141.07
1073.79,3.30778e+06,s,NA
1073.79,3.30778e+06,s,NA
1080,3.32729e+06,p,3141.07
1080.4,3.32859e+06,e,3256.49
1084.27,3.34121e+06,s,3256.49
1118.57,3.4529e+06,p,3256.49
1126.67,3.47902e+06,p,3226.32
1126.67,3.47902e+06,s,NA
1129.98,3.48952e+06,e,3165.97
1130.66,3.49166e+06,e,3165.97
1130.66,3.49166e+06,s,NA
1141.63,3.5264e+06,p,3165.97
1141.63,3.5264e+06,s,NA
1145.94,3.53992e+06,p,3135.8
1145.94,3.53992e+06,s,NA
1147.51,3.54474e+06,p,3075.45
1150.89,3.55493e+06,p,3015.1
1152.55,3.55989e+06,e,2984.92
1177.53,3.63445e+06,s,2984.92
1184.14,3.65417e+06,e,2984.92
1203.71,3.7126e+06,e,2984.92
1206,3.71944e+06,e,2984.92
1206,3.71944e+06,s,NA
1215.47,3.74771e+06,e,2984.92
1215.47,3.74771e+06,s,NA
1215.57,3.74799e+06,e,2984.92
1215.57,3.74799e+06,s,NA
1215.57,3.74799e+06,s,NA
1225.22,3.77681e+06,e,2984.92
1231.52,3.7956e+06,p,2984.92
1231.52,3.7956e+06,p,NA
1232.01,3.79706e+06,p,2978.74
1237.62,3.81442e+06,p,3094.16
1237.62,3.81442e+06,p,NA
1242.05,3.82805e+06,e,3075.45
1242.05,3.82805e+06,s,NA
1246.29,3.84108e+06,e,3075.45
1246.29,3.84108e+06,s,NA
1246.91,3.843e+06,s,3075.45
1267.06,3.90496e+06,s,3075.45
1273.07,3.92345e+06,s,3075.45
1282.33,3.95192e+06,e,3075.45
1287.15,3.96675e+06,s,3075.45
1296.41,3.99522e+06,e,3075.45
1297.34,3.99809e+06,e,3075.45
1299.83,4.00576e+06,e,3075.45
1319.82,4.06722e+06,s,3075.45
1326.43,4.08754e+06,e,3075.45
1383.53,4.26316e+06,p,3075.45
1383.53,4.26316e+06,s,NA
1385.85,4.27022e+06,e,3045.27
1387.24,4.27446e+06,e,3045.27
1389.14,4.28024e+06,p,3045.27
1389.14,4.28024e+06,s,NA
1389.14,4.28024e+06,p,NA
1394.65,4.29656e+06,e,2960.75
1394.65,4.29656e+06,s,NA
1394.65,4.29656e+06,s,NA
1394.65,4.29656e+06,s,NA
1395.24,4.2983e+06,p,2960.75
1421.19,4.37276e+06,e,2869.5
1421.19,4.37276e+06,s,NA
1421.19,4.37276e+06,s,NA
1438.96,4.42375e+06,p,2869.5
1440,4.42686e+06,p,2984.92
1447.67,4.45064e+06,e,3100.35
1447.67,4.45064e+06,s,NA
1469.85,4.51941e+06,e,3100.35
1469.85,4.51941e+06,s,NA
1481.27,4.55483e+06,e,3100.35
1481.27,4.55483e+06,s,NA
1500.95,4.61584e+06,s,3100.35
1510.21,4.64454e+06,e,3100.35
1522.04,4.68122e+06,e,3100.35
1522.04,4.68122e+06,s,NA
1526.9,4.69629e+06,e,3100.35
1535.6,4.72326e+06,e,3100.35
1590.48,4.8934e+06,p,3100.35
1590.48,4.8934e+06,s,NA
1591.52,4.89659e+06,p,3070.17
1591.52,4.89659e+06,s,NA
1607.16,4.94415e+06,e,3040
1607.16,4.94415e+06,s,NA
1607.16,4.94415e+06,s,NA
1616.42,4.97229e+06,e,3040
1616.42,4.97229e+06,e,NA
1617.04,4.97419e+06,s,3040
1648.93,5.07112e+06,e,3040
1650.69,5.07649e+06,e,3040
1653.54,5.08513e+06,e,3040
1663.52,5.11547e+06,e,3040
1663.52,5.11547e+06,s,NA
1667.38,5.12721e+06,e,3040
1680.03,5.16566e+06,e,3040
1680.03,5.16566e+06,s,NA
1685.18,5.18132e+06,e,3040
1685.18,5.18132e+06,s,NA
1705.93,5.24442e+06,e,3040
1705.93,5.24442e+06,s,NA
1705.93,5.24442e+06,s,NA
1705.93,5.24442e+06,s,NA
1705.93,5.24442e+06,s,NA
1705.93,5.24442e+06,s,NA
1705.93,5.24442e+06,s,NA
1705.93,5.24442e+06,s,NA
1705.93,5.24442e+06,p,NA
1712.03,5.26303e+06,p,3051.99
1715.2,5.27212e+06,p,2869.5
1727.66,5.30931e+06,e,2984.92
1727.66,5.30931e+06,p,NA
1747.07,5.3695e+06,e,3100.35
1747.07,5.3695e+06,s,NA
1757.99,5.40335e+06,e,3100.35
1764.37,5.42312e+06,s,3100.35
1770.98,5.44361e+06,e,3100.35
1773.56,5.4516e+06,e,3100.35
1773.56,5.4516e+06,s,NA
1777.55,5.46398e+06,e,3100.35
1777.55,5.46398e+06,s,NA
1800,5.53359e+06,p,3100.35
1806.1,5.55253e+06,p,3106.35
1846.88,5.67551e+06,e,3015.1
1846.88,5.67551e+06,s,NA
1857.87,5.70864e+06,e,3015.1
1857.87,5.70864e+06,s,NA
1857.87,5.70864e+06,s,NA
1864.63,5.72902e+06,s,3015.1
1865.24,5.73084e+06,e,3015.1
1865.24,5.73084e+06,s,NA
1866.72,5.73531e+06,p,3015.1
1866.72,5.73531e+06,s,NA
1873.37,5.75515e+06,e,2984.92
1879.18,5.7725e+06,p,2984.92
1879.18,5.7725e+06,p,NA
1884.36,5.78783e+06,e,2960.75
1885.28,5.79056e+06,p,2960.75
1897.54,5.82574e+06,s,2869.5
1901.17,5.83616e+06,e,2869.5
1920,5.89019e+06,p,2869.5
1924.32,5.90308e+06,s,2984.92
1933.47,5.9304e+06,e,2984.92
1941.09,5.95314e+06,s,2984.92
1946.38,5.96895e+06,e,2984.92
1950.8,5.98212e+06,e,2984.92
1953.14,5.98912e+06,e,2984.92
1971.48,6.04386e+06,s,2984.92
1971.73,6.04462e+06,e,2984.92
1974.52,6.05292e+06,s,2984.92
1975.71,6.05649e+06,e,2984.92
1975.71,6.05649e+06,s,NA
1977.02,6.0604e+06,e,2984.92
1978.04,6.06344e+06,e,2984.92
1980,6.06929e+06,p,2984.92
1981.13,6.07278e+06,e,3100.35
1985.92,6.08766e+06,e,3100.35
