job_id,hacky_job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_resources
0,0,87cf57,0.000000,1,149.000000,1,157.620000,88.510000,246.130000,157.620000,246.130000,2.780816,8408.450000,0
1,10,87cf57,4.709164,2,399.000000,1,157.620000,265.800000,423.420000,152.910836,418.710836,1.575285,50502.000000,1-2
2,20,87cf57,16.003927,1,420.000000,1,157.620000,279.990000,437.610000,141.616073,421.606073,1.505790,26599.050000,3
3,30,87cf57,38.836285,4,96.000000,1,167.523927,35.932000,203.455927,128.687642,164.619642,4.581422,13654.160000,4-7
4,40,87cf57,54.195921,1,149.000000,1,190.356285,88.510000,278.866285,136.160365,224.670365,2.538361,8408.450000,8
5,50,87cf57,70.350749,1,420.000000,1,190.356285,279.990000,470.346285,120.005536,399.995536,1.428607,26599.050000,9
6,60,87cf57,95.448861,4,77.000000,1,190.356285,16.684000,207.040285,94.907424,111.591424,6.688529,6339.920000,10-13
7,70,87cf57,121.609395,2,87.000000,1,190.356285,26.481000,216.837285,68.746890,95.227890,3.596084,5031.390000,14-15
8,80,87cf57,126.478295,2,891.000000,1,203.455927,593.590000,797.045927,76.977633,670.567633,1.129681,112782.100000,4-5
9,90,87cf57,136.018440,4,436.000000,1,205.715921,290.530000,496.245921,69.697480,360.227480,1.239898,110401.400000,6-7 16-17
10,100,87cf57,142.901063,2,891.000000,1,205.715921,593.590000,799.305921,62.814858,656.404858,1.105822,112782.100000,18-19
11,110,87cf57,153.505641,8,109.000000,1,207.040285,48.800000,255.840285,53.534644,102.334644,2.097021,37088.000000,10-13 20-23
12,120,87cf57,164.476903,2,87.000000,1,211.520000,26.481000,238.001000,47.043097,73.524097,2.776485,5031.390000,24-25
13,130,87cf57,168.987800,1,70.000000,1,211.520000,9.257000,220.777000,42.532200,51.789200,5.594599,879.415000,26
14,140,87cf57,179.192932,2,87.000000,1,211.520000,26.481000,238.001000,32.327068,58.808068,2.220765,5031.390000,27-28
15,150,87cf57,193.418387,2,212.000000,1,216.837285,140.950000,357.787285,23.418898,164.368898,1.166150,26780.500000,14-15
16,160,87cf57,211.616998,2,123.000000,1,220.777000,62.080000,282.857000,9.160002,71.240002,1.147552,11795.200000,26 29
17,170,87cf57,221.353478,4,148.000000,1,238.001000,87.690000,325.691000,16.647522,104.337522,1.189845,33322.200000,24-25 27-28
18,180,87cf57,222.488483,4,436.000000,1,255.840285,290.530000,546.370285,33.351803,323.881803,1.114796,110401.400000,0 10-12
19,190,87cf57,240.874140,16,86.000000,1,437.610000,25.905000,463.515000,196.735860,222.640860,8.594513,39375.600000,1-3 8 13-15 20-23 26-30
20,200,87cf57,253.023655,1,149.000000,1,255.840285,88.510000,344.350285,2.816631,91.326631,1.031823,8408.450000,13
21,210,87cf57,265.241456,8,70.000000,1,357.787285,9.567000,367.354285,92.545829,102.112829,10.673443,7270.920000,13-15 21-23 26 29
22,220,87cf57,283.879268,2,212.000000,1,283.879268,140.950000,424.829268,0.000000,140.950000,1.000000,26780.500000,8 20
23,230,87cf57,290.504037,4,436.000000,1,463.515000,290.530000,754.045000,173.010963,463.540963,1.595501,110401.400000,1-3 8
24,240,87cf57,302.154936,4,96.000000,1,302.154936,35.932000,338.086936,0.000000,35.932000,1.000000,13654.160000,21-23 26
25,250,87cf57,308.931367,2,212.000000,1,325.691000,140.950000,466.641000,16.759633,157.709633,1.118905,26780.500000,24-25
26,260,87cf57,324.440409,2,399.000000,1,463.515000,265.800000,729.315000,139.074591,404.874591,1.523230,50502.000000,13-14
27,270,87cf57,336.459321,2,87.000000,1,336.459321,26.481000,362.940321,0.000000,26.481000,1.000000,5031.390000,27-28
