time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0,0,0,32,0,0
6.1,32,0,0,0,0
6.1,31,1,0,0,0
6.1,28,4,0,0,0
16.0039,24,8,0,0,0
38.8363,16,16,0,0,0
54.1959,7,25,0,0,0
60,2,30,0,0,0
70.3507,0,32,0,0,0
157.62,0,28,0,4,0
157.62,0,28,0,4,0
157.62,0,28,0,3,1
157.62,0,28,0,1,3
157.62,0,28,0,0,4
167.524,0,24,0,4,4
167.524,0,24,0,0,8
190.356,0,16,0,8,8
190.356,0,16,0,7,9
190.356,0,16,0,5,11
190.356,0,16,0,4,12
190.356,0,16,0,0,16
203.456,0,16,0,4,12
203.456,0,16,0,2,14
205.716,0,7,0,11,14
205.716,0,7,0,9,16
205.716,0,7,0,5,20
207.04,0,7,0,9,16
207.04,0,7,0,1,24
211.52,0,2,0,6,24
211.52,0,2,0,5,25
211.52,0,2,0,3,27
211.52,0,2,0,1,29
216.837,0,2,0,3,27
216.837,0,2,0,1,29
220.777,0,2,0,2,28
220.777,0,2,0,0,30
221.871,0,0,0,2,30
221.871,0,0,2,0,30
227.971,2,0,0,0,30
238.001,2,0,0,2,28
238.001,2,0,0,4,26
238.001,2,0,0,0,30
246.13,2,0,0,1,29
253.024,1,1,0,1,29
255.84,1,1,0,9,21
255.84,1,1,0,5,25
255.84,1,1,0,4,26
278.866,1,1,0,5,25
282.857,1,1,0,7,23
283.879,1,1,0,5,25
302.155,1,1,0,1,29
325.691,1,1,0,5,25
325.691,1,1,0,3,27
336.459,1,1,0,1,29
338.087,1,1,0,5,25
344.35,1,1,0,6,24
346.187,0,2,0,6,24
357.787,0,2,0,8,22
357.787,0,2,0,0,30
362.94,0,2,0,2,28
367.354,0,2,0,10,20
404.544,0,1,0,11,20
423.42,0,1,0,13,18
424.829,0,1,0,15,16
437.61,0,1,0,16,15
437.61,0,1,0,0,31
463.515,0,1,0,16,15
463.515,0,1,0,15,16
463.515,0,1,0,14,17
463.515,0,1,0,13,18
463.515,0,1,0,11,20
463.515,0,1,0,7,24
463.515,0,1,0,6,25
463.515,0,1,0,4,27
463.515,0,1,0,2,29
463.515,0,1,0,0,31
466.641,0,1,0,2,29
470.346,0,1,0,3,28
489.996,0,1,0,5,26
489.996,0,1,0,1,30
496.246,0,1,0,5,26
496.246,0,1,0,1,30
497.707,0,0,0,2,30
497.707,0,0,0,0,32
504.316,0,0,0,2,30
504.316,0,0,2,0,30
510.416,2,0,0,0,30
510.722,0,2,0,0,30
532.178,0,2,0,4,26
532.178,0,2,0,0,30
536.171,0,2,0,4,26
536.171,0,2,0,2,28
536.171,0,2,0,0,30
542.78,0,2,0,2,28
542.78,0,2,0,4,26
545.978,0,2,0,2,28
546.37,0,2,0,6,24
552.025,0,2,0,7,23
552.587,0,2,0,9,21
552.587,0,2,0,1,29
571.932,0,2,0,0,30
633.297,0,2,0,8,22
633.297,0,2,0,0,30
642.864,0,2,0,8,22
642.864,0,2,0,6,24
642.864,0,2,0,4,26
642.864,0,2,0,0,30
649.473,0,2,0,2,28
649.473,0,2,0,1,29
662.242,0,0,0,3,29
662.242,0,0,0,1,31
694.644,0,0,0,0,32
704.944,0,0,0,2,30
704.944,0,0,0,0,32
711.553,0,0,0,2,30
711.553,0,0,0,0,32
718.162,0,0,0,2,30
724.322,0,0,0,4,28
724.322,0,0,0,0,32
728.315,0,0,0,4,28
728.315,0,0,0,3,29
729.315,0,0,0,5,27
737.572,0,0,0,6,26
737.983,0,0,0,7,25
743.505,0,0,0,8,24
743.505,0,0,0,9,23
743.505,0,0,0,1,31
754.045,0,0,0,5,27
754.045,0,0,0,3,29
754.045,0,0,0,1,31
780.526,0,0,0,5,27
780.526,0,0,0,3,29
780.526,0,0,0,1,31
783.154,0,0,0,2,30
783.154,0,0,0,0,32
797.046,0,0,0,2,30
797.046,0,0,0,0,32
799.306,0,0,0,2,30
799.306,0,0,2,0,30
805.406,2,0,0,0,30
805.406,1,1,0,0,30
806.289,0,2,0,0,30
842.606,0,2,0,2,28
842.606,0,2,0,1,29
842.606,0,2,1,0,29
848.706,1,2,0,0,29
849.995,1,2,0,1,28
849.995,1,2,0,0,29
894.995,1,2,0,2,27
894.995,1,2,0,0,29
901.604,1,2,0,2,27
901.604,1,2,0,1,28
901.604,1,2,0,0,29
910.861,1,2,0,1,28
910.861,1,2,0,0,29
922.585,1,2,0,8,21
922.585,1,2,0,6,23
922.585,1,2,0,2,27
922.585,1,2,0,1,28
924.104,1,2,0,3,26
924.104,1,2,0,1,28
924.519,1,2,0,0,29
931.116,1,2,0,1,28
931.842,1,2,0,2,27
933.394,1,2,0,6,23
933.776,1,2,0,7,22
939.269,1,2,0,11,18
955.76,1,2,0,7,22
956.926,1,1,0,8,22
957.809,1,0,0,9,22
957.809,1,0,9,0,22
958.412,1,0,9,1,21
958.412,1,0,10,0,21
963.909,10,0,1,0,21
964.512,11,0,0,0,21
967.053,10,1,0,0,21
975.146,8,3,0,0,21
990.114,8,3,0,1,20
990.114,8,3,0,0,21
990.114,7,4,0,0,21
994.423,5,6,0,0,21
995.991,3,8,0,0,21
999.371,3,8,0,1,20
999.371,3,8,0,0,21
999.371,2,9,0,0,21
1019.84,2,9,0,2,19
1019.84,2,9,0,1,20
1046.33,2,9,0,3,18
1057.1,2,9,0,5,16
1057.1,2,9,0,7,14
1057.1,2,9,0,3,18
1057.1,2,9,0,1,20
1062.85,2,9,0,3,18
1063.53,2,9,0,5,16
1063.53,2,9,0,1,20
1065.05,2,9,0,3,18
1065.05,2,9,0,1,20
1073.79,2,9,0,5,16
1073.79,2,9,0,3,18
1073.79,2,9,0,1,20
1080,1,10,0,1,20
1080.4,1,10,0,3,18
1084.27,1,10,0,1,20
1118.57,1,9,0,2,20
1126.67,1,7,0,4,20
1126.67,1,7,0,0,24
1129.98,1,7,0,1,23
