date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
0,0,0,0
0,1,154,476.1
4.70916,1,154,471.391
4.70916,2,962,1279.39
6.1,2,962,1278
6.1,2,962,436
16.0039,2,962,426.096
16.0039,3,1387,344.673
38.8363,3,1387,321.841
38.8363,4,1791,263.764
54.1959,4,1791,248.404
54.1959,5,1945,220.544
60,5,1945,214.74
60,5,1945,214.74
60,5,1945,204.785
70.3507,5,1945,194.434
70.3507,6,2370,205.729
95.4489,6,2370,180.631
95.4489,7,2698,191.211
120,7,2698,166.66
120,7,2698,166.66
120,7,2698,166.66
121.609,7,2698,165.051
121.609,8,2882,170.986
126.478,8,2882,166.118
126.478,9,4674,222.883
136.018,9,4674,213.343
136.018,10,6438,268.468
142.901,10,6438,261.586
142.901,11,8230,317.586
153.506,11,8230,306.981
153.506,12,9142,335.481
157.62,12,9142,331.367
157.62,11,8988,347.776
157.62,9,7755,330.993
164.477,9,7755,324.137
164.477,10,7939,330.481
167.524,10,7939,327.434
167.524,9,7535,318.058
168.988,9,7535,316.594
168.988,10,7610,319.18
179.193,10,7610,308.975
179.193,11,7794,315.32
180,11,7794,314.513
180,11,7794,314.513
180,11,7794,314.513
190.356,11,7794,304.157
190.356,7,6703,313.693
193.418,7,6703,310.631
193.418,8,7137,327.323
203.456,8,7137,317.286
203.456,7,5345,280.985
205.716,7,5345,278.931
205.716,5,1789,173.254
207.04,5,1789,172.261
207.04,4,877,122.033
211.52,4,877,117.789
211.52,1,434,117.349
211.617,1,434,117.258
211.617,2,690,132.317
216.837,2,690,127.403
216.837,1,256,106.721
220.777,1,256,103.044
220.777,0,0,0
221.353,0,0,0
221.353,1,612,134.972
221.871,1,612,134.455
221.871,1,612,155.95
222.488,1,612,155.333
222.488,2,2376,277.045
227.971,2,2376,271.563
227.971,2,2376,271.563
238.001,2,2376,261.533
238.001,2,2376,258.72
238.001,1,1764,250.097
240,1,1764,248.098
240,1,1764,248.098
240,1,1764,248.098
240.874,1,1764,247.224
240.874,2,3220,347.081
246.13,2,3220,341.825
246.13,2,3220,337.972
253.024,2,3220,331.484
253.024,3,3374,330.346
255.84,3,3374,327.686
255.84,1,1456,195.681
265.241,1,1456,188.786
265.241,2,2056,228.786
278.866,2,2056,218.795
278.866,2,2056,214.429
282.857,2,2056,211.768
282.857,2,2056,202.979
283.879,2,2056,202.434
283.879,2,2056,231.367
290.504,2,2056,226.951
290.504,3,3820,400.361
300,3,3820,392.93
300,3,3820,392.93
300,3,3820,392.93
302.155,3,3820,391.243
302.155,3,3820,406.716
308.931,3,3820,400.191
308.931,4,4254,416.265
324.44,4,4254,401.33
324.44,5,5062,431.256
325.691,5,5062,430.052
