time,energy,event_type,epower
0,0,s,NA
4.70916,14315.9,s,3040
16.0039,48651.9,s,3040
38.8363,118062,s,3040
54.1959,164756,s,3040
70.3507,213866,s,3040
74.7683,227296,e,3040
88.51,269070,e,3040
95.4489,290165,s,3040
112.133,340884,e,3040
121.609,369693,s,3040
126.478,384494,s,3040
136.018,413496,s,3040
142.706,433826,e,3040
142.901,434419,s,3040
148.09,450195,e,3040
153.506,466657,s,3040
164.477,500010,s,3040
168.988,513723,s,3040
178.245,541864,e,3040
179.193,544747,s,3040
180,547200,p,3040
186.1,565781,p,3046
190.958,580134,e,2954.75
193.418,587405,s,2954.75
202.306,613664,e,2954.75
205.674,623617,e,2954.75
211.617,641177,s,2954.75
221.353,669946,s,2954.75
222.488,673299,s,2954.75
240,725042,p,2954.75
246.1,743139,p,2966.74
253.024,762416,s,2784.25
270.509,811100,e,2784.25
273.697,819976,e,2784.25
273.697,819976,s,NA
283.264,846613,e,2784.25
295.994,882056,e,2784.25
302.155,899210,s,2784.25
309.043,918389,e,2784.25
334.368,988900,e,2784.25
338.087,999253,e,2784.25
341.534,1.00885e+06,e,2784.25
341.534,1.00885e+06,s,NA
350.341,1.03337e+06,e,2784.25
350.341,1.03337e+06,s,NA
360,1.06026e+06,p,2784.25
367.439,1.08183e+06,e,2899.67
367.439,1.08183e+06,s,NA
367.439,1.08183e+06,s,NA
367.439,1.08183e+06,s,NA
367.439,1.08183e+06,s,NA
367.439,1.08183e+06,s,NA
367.439,1.08183e+06,s,NA
378.407,1.11364e+06,s,2899.67
389.081,1.14459e+06,s,2899.67
393.92,1.15862e+06,e,2899.67
400.603,1.178e+06,s,2899.67
426.548,1.25323e+06,e,2899.67
426.548,1.25323e+06,s,NA
435.468,1.2791e+06,s,2899.67
461.949,1.35588e+06,e,2899.67
477.591,1.40124e+06,e,2899.67
477.591,1.40124e+06,s,NA
508.389,1.49054e+06,e,2899.67
508.389,1.49054e+06,e,NA
508.389,1.49054e+06,s,NA
511.52,1.49962e+06,p,2899.67
513.018,1.50392e+06,e,2869.5
513.018,1.50392e+06,s,NA
514.998,1.5096e+06,e,2869.5
514.998,1.5096e+06,s,NA
518.991,1.52106e+06,e,2869.5
518.991,1.52106e+06,s,NA
525.6,1.54003e+06,e,2869.5
530.088,1.5529e+06,s,2869.5
536.697,1.57187e+06,e,2869.5
540,1.58135e+06,p,2869.5
548.95,1.60806e+06,e,2984.92
548.95,1.60806e+06,s,NA
571.932,1.67666e+06,s,2984.92
629.66,1.84898e+06,e,2984.92
629.66,1.84898e+06,s,NA
630.331,1.85098e+06,e,2984.92
633.239,1.85966e+06,e,2984.92
633.239,1.85966e+06,s,NA
633.239,1.85966e+06,s,NA
639.227,1.87753e+06,e,2984.92
639.227,1.87753e+06,s,NA
639.227,1.87753e+06,s,NA
639.227,1.87753e+06,s,NA
639.848,1.87938e+06,e,2984.92
639.848,1.87938e+06,s,NA
645.836,1.89726e+06,e,2984.92
657.969,1.93347e+06,e,2984.92
658.397,1.93475e+06,e,2984.92
691.52,2.03362e+06,p,2984.92
691.52,2.03362e+06,s,NA
701.307,2.06254e+06,e,2954.75
701.307,2.06254e+06,s,NA
701.928,2.06437e+06,e,2954.75
701.928,2.06437e+06,s,NA
720.068,2.11798e+06,e,2954.75
720.068,2.11798e+06,s,NA
721.749,2.12294e+06,e,2954.75
721.749,2.12294e+06,s,NA
726.677,2.1375e+06,e,2954.75
726.677,2.1375e+06,s,NA
736.491,2.1665e+06,e,2954.75
736.491,2.1665e+06,s,NA
743.1,2.18603e+06,e,2954.75
743.1,2.18603e+06,s,NA
752.357,2.21338e+06,e,2954.75
752.357,2.21338e+06,s,NA
768.121,2.25996e+06,e,2954.75
768.121,2.25996e+06,s,NA
772.114,2.27176e+06,e,2954.75
772.938,2.27419e+06,s,2954.75
780,2.29506e+06,p,2954.75
786.1,2.31312e+06,p,2960.75
787.083,2.31594e+06,e,2869.5
787.083,2.31594e+06,s,NA
810.259,2.38244e+06,e,2869.5
810.259,2.38244e+06,s,NA
814.437,2.39443e+06,e,2869.5
814.437,2.39443e+06,s,NA
817.328,2.40273e+06,s,2869.5
826.585,2.42929e+06,e,2869.5
840,2.46779e+06,p,2869.5
842.878,2.47606e+06,e,2875.5
842.878,2.47606e+06,s,NA
846.1,2.48533e+06,p,2875.5
849.487,2.49476e+06,e,2784.25
849.487,2.49476e+06,s,NA
849.487,2.49476e+06,s,NA
870.6,2.55354e+06,e,2784.25
870.6,2.55354e+06,s,NA
870.6,2.55354e+06,s,NA
879.857,2.57931e+06,e,2784.25
881.541,2.584e+06,s,2784.25
887.284,2.59999e+06,e,2784.25
898.769,2.63197e+06,e,2784.25
898.769,2.63197e+06,p,NA
900,2.6354e+06,p,2790.25
904.844,2.64898e+06,s,2802.24
904.869,2.64905e+06,p,2802.24
906.1,2.65239e+06,p,2710.99
913.888,2.67208e+06,e,2528.5
924.519,2.69896e+06,s,2528.5
929.757,2.7122e+06,e,2528.5
933.776,2.72236e+06,e,2528.5
937.997,2.73304e+06,e,2528.5
955.76,2.77795e+06,s,2528.5
958.412,2.78466e+06,e,2528.5
960,2.78867e+06,p,2528.5
961.029,2.7913e+06,e,2552.49
966.1,2.80424e+06,p,2552.49
967.053,2.80633e+06,s,2187.5
967.107,2.80645e+06,e,2187.5
975.146,2.82403e+06,s,2187.5
976.31,2.82658e+06,e,2187.5
992.477,2.86194e+06,e,2187.5
994.423,2.8662e+06,s,2187.5
995.991,2.86963e+06,s,2187.5
1012.68,2.90613e+06,e,2187.5
1020,2.92215e+06,p,2187.5
1020.14,2.92246e+06,e,2223.48
1020.63,2.92355e+06,s,2223.48
1022.49,2.92769e+06,e,2223.48
1022.49,2.92769e+06,p,NA
1026.1,2.93575e+06,p,2235.47
1028.59,2.93996e+06,p,1687.99
1045.79,2.96586e+06,e,1505.5
1052.88,2.97653e+06,e,1505.5
1052.88,2.97653e+06,s,NA
1094.43,3.03908e+06,e,1505.5
1140,3.10769e+06,p,1505.5
1200,3.20494e+06,p,1620.92
1204.82,3.21387e+06,e,1851.77
1204.82,3.21387e+06,s,NA
1204.82,3.21387e+06,s,NA
1235.97,3.27154e+06,e,1851.77
1235.97,3.27154e+06,s,NA
1242.58,3.28378e+06,e,1851.77
1242.58,3.28378e+06,s,NA
1246.29,3.29066e+06,e,1851.77
1246.29,3.29066e+06,s,NA
1250.28,3.29805e+06,e,1851.77
1250.28,3.29805e+06,s,NA
1274.41,3.34274e+06,e,1851.77
1291.52,3.37442e+06,p,1851.77
1291.52,3.37442e+06,s,NA
1345.77,3.47324e+06,e,1821.6
1345.77,3.47324e+06,s,NA
1351.52,3.48371e+06,p,1821.6
1351.52,3.48371e+06,s,NA
1352.38,3.48523e+06,e,1761.25
1352.38,3.48523e+06,s,NA
1353.6,3.48738e+06,e,1761.25
1353.6,3.48738e+06,s,NA
1353.6,3.48738e+06,p,NA
1358.13,3.49538e+06,e,1767.25
1358.13,3.49538e+06,s,NA
1359.7,3.49816e+06,p,1767.25
1361.63,3.50138e+06,e,1676
1361.63,3.50138e+06,s,NA
1362.86,3.50345e+06,e,1676
1367.39,3.51104e+06,e,1676
1368.24,3.51246e+06,e,1676
1378.86,3.53027e+06,e,1676
1383.53,3.53809e+06,e,1676
1383.53,3.53809e+06,s,NA
1393.09,3.55412e+06,e,1676
1393.09,3.55412e+06,s,NA
1393.09,3.55412e+06,s,NA
1393.09,3.55412e+06,s,NA
1393.09,3.55412e+06,s,NA
1393.09,3.55412e+06,s,NA
1440,3.63274e+06,p,1676
1500,3.74022e+06,p,1791.42
1534.04,3.80907e+06,e,2022.27
1534.04,3.80907e+06,e,NA
1534.04,3.80907e+06,s,NA
1534.04,3.80907e+06,s,NA
1534.04,3.80907e+06,s,NA
1540.81,3.82276e+06,e,2022.27
1540.81,3.82276e+06,s,NA
1543.3,3.82779e+06,e,2022.27
1557.5,3.8565e+06,e,2022.27
1560,3.86156e+06,p,2022.27
1560.52,3.86286e+06,e,2483.97
1591.52,3.93985e+06,p,2483.97
1591.52,3.93985e+06,s,NA
1614.22,3.99555e+06,e,2453.8
1614.22,3.99555e+06,s,NA
1614.22,3.99555e+06,s,NA
1623.48,4.01827e+06,e,2453.8
1623.48,4.01827e+06,e,NA
1651.52,4.08708e+06,p,2453.8
1658.89,4.10473e+06,e,2393.45
1673.08,4.13869e+06,e,2393.45
1673.08,4.13869e+06,e,NA
1673.08,4.13869e+06,s,NA
1673.08,4.13869e+06,s,NA
1711.52,4.23069e+06,p,2393.45
1711.52,4.23069e+06,s,NA
1711.52,4.23069e+06,s,NA
1740,4.29542e+06,p,2272.75
1770.6,4.3685e+06,e,2388.17
1770.6,4.3685e+06,s,NA
1770.6,4.3685e+06,s,NA
1770.6,4.3685e+06,s,NA
1777.21,4.38428e+06,e,2388.17
1792.23,4.42015e+06,e,2388.17
1792.23,4.42015e+06,s,NA
1792.23,4.42015e+06,s,NA
1798.41,4.43492e+06,e,2388.17
1798.41,4.43492e+06,s,NA
1891.52,4.65727e+06,p,2388.17
1891.52,4.65727e+06,s,NA
1920.52,4.72566e+06,e,2358
1920.52,4.72566e+06,s,NA
1953.07,4.80241e+06,e,2358
1953.07,4.80241e+06,e,NA
1953.07,4.80241e+06,s,NA
1953.07,4.80241e+06,s,NA
1971.31,4.84542e+06,e,2358
1971.31,4.84542e+06,s,NA
1971.31,4.84542e+06,s,NA
1971.31,4.84542e+06,s,NA
1980,4.86591e+06,p,2358
1980.03,4.86598e+06,e,2473.42
1980.03,4.86598e+06,s,NA
2009.03,4.93772e+06,e,2473.42
2009.03,4.93772e+06,s,NA
2041.58,5.01823e+06,e,2473.42
2058.03,5.05891e+06,e,2473.42
2058.03,5.05891e+06,s,NA
2061.13,5.06658e+06,e,2473.42
2061.13,5.06658e+06,s,NA
2065.12,5.07645e+06,e,2473.42
2065.12,5.07645e+06,s,NA
2065.12,5.07645e+06,s,NA
2082.81,5.1202e+06,s,2473.42
2084.51,5.12441e+06,e,2473.42
2084.51,5.12441e+06,s,NA
2091.6,5.14195e+06,e,2473.42
2091.6,5.14195e+06,e,NA
2091.6,5.14195e+06,s,NA
2091.6,5.14195e+06,s,NA
2092.07,5.1431e+06,e,2473.42
2097.54,5.15664e+06,e,2473.42
2097.54,5.15664e+06,s,NA
2098.21,5.1583e+06,e,2473.42
2098.21,5.1583e+06,s,NA
2104.15,5.17299e+06,e,2473.42
2104.15,5.17299e+06,s,NA
2104.82,5.17465e+06,e,2473.42
2104.82,5.17465e+06,s,NA
2110.76,5.18934e+06,e,2473.42
2110.76,5.18934e+06,s,NA
2110.99,5.18991e+06,e,2473.42
2112.26,5.19304e+06,e,2473.42
2112.26,5.19304e+06,e,NA
2118.08,5.20745e+06,e,2473.42
2118.08,5.20745e+06,s,NA
2120.02,5.21223e+06,e,2473.42
2120.41,5.21322e+06,e,2473.42
2120.68,5.21386e+06,s,2473.42
2123.25,5.22023e+06,e,2473.42
2129.93,5.23676e+06,e,2473.42
2131.3,5.24015e+06,e,2473.42
2131.3,5.24015e+06,s,NA
2131.52,5.24068e+06,p,2473.42
2131.52,5.24068e+06,s,NA
2157.21,5.30344e+06,e,2443.25
2157.21,5.30344e+06,s,NA
2157.21,5.30344e+06,s,NA
2157.21,5.30344e+06,s,NA
2157.21,5.30344e+06,s,NA
2157.21,5.30344e+06,s,NA
2157.21,5.30344e+06,s,NA
2244.9,5.51769e+06,e,2443.25
2244.9,5.51769e+06,s,NA
2244.9,5.51769e+06,p,NA
2251,5.53263e+06,p,2449.25
2251.51,5.53383e+06,e,2358
2251.51,5.53383e+06,s,NA
2305.11,5.66023e+06,e,2358
2305.11,5.66023e+06,s,NA
2313.59,5.68022e+06,e,2358
2313.59,5.68022e+06,s,NA
2339.55,5.74145e+06,e,2358
2339.55,5.74145e+06,s,NA
2340,5.7425e+06,p,2358
2346.16,5.75774e+06,e,2473.42
2346.16,5.75774e+06,s,NA
2364.19,5.80233e+06,e,2473.42
2364.19,5.80233e+06,s,NA
2366.51,5.80807e+06,e,2473.42
2366.51,5.80807e+06,s,NA
2367.19,5.80975e+06,e,2473.42
2367.19,5.80975e+06,s,NA
2392,5.87113e+06,e,2473.42
2392,5.87113e+06,s,NA
2393.67,5.87525e+06,e,2473.42
2393.67,5.87525e+06,s,NA
2400.28,5.8916e+06,e,2473.42
2411.51,5.91937e+06,e,2473.42
2411.51,5.91937e+06,s,NA
2423.01,5.94781e+06,e,2473.42
2423.01,5.94781e+06,e,NA
2423.01,5.94781e+06,s,NA
2426.27,5.95588e+06,e,2473.42
2447.44,6.00825e+06,e,2473.42
2447.44,6.00825e+06,s,NA
2447.44,6.00825e+06,s,NA
2447.74,6.00898e+06,e,2473.42
2447.74,6.00898e+06,s,NA
2454.54,6.0258e+06,e,2473.42
2458.94,6.03669e+06,e,2473.42
2464.42,6.05025e+06,e,2473.42
2464.42,6.05025e+06,s,NA
2473.99,6.07391e+06,e,2473.42
2483.37,6.09713e+06,e,2473.42
2491.52,6.11727e+06,p,2473.42
2491.52,6.11727e+06,s,NA
2533.52,6.21989e+06,e,2443.25
2533.52,6.21989e+06,s,NA
2533.52,6.21989e+06,s,NA
2533.52,6.21989e+06,s,NA
2533.52,6.21989e+06,s,NA
2533.52,6.21989e+06,s,NA
2582.32,6.33912e+06,e,2443.25
2582.32,6.33912e+06,s,NA
2646.5,6.49593e+06,e,2443.25
2646.5,6.49593e+06,s,NA
2657.8,6.52354e+06,e,2443.25
2657.8,6.52354e+06,s,NA
2663.03,6.53631e+06,e,2443.25
2663.03,6.53631e+06,s,NA
2663.03,6.53631e+06,s,NA
2700,6.62664e+06,p,2443.25
2732.64,6.71016e+06,e,2558.67
2732.64,6.71016e+06,s,NA
2750.72,6.75641e+06,e,2558.67
2750.72,6.75641e+06,s,NA
2750.8,6.75662e+06,e,2558.67
2750.8,6.75662e+06,e,NA
2750.8,6.75662e+06,s,NA
2750.8,6.75662e+06,s,NA
2750.8,6.75662e+06,s,NA
2757.41,6.77353e+06,e,2558.67
2757.41,6.77353e+06,s,NA
2760.05,6.7803e+06,e,2558.67
2760.05,6.7803e+06,e,NA
2760.05,6.7803e+06,s,NA
2798.75,6.87932e+06,e,2558.67
2798.75,6.87932e+06,s,NA
2799.32,6.88076e+06,e,2558.67
2799.32,6.88076e+06,s,NA
2805.36,6.89623e+06,e,2558.67
2805.36,6.89623e+06,s,NA
2811.97,6.91314e+06,e,2558.67
2811.97,6.91314e+06,s,NA
2814.97,6.92081e+06,e,2558.67
2814.97,6.92081e+06,s,NA
2818.58,6.93005e+06,e,2558.67
2818.58,6.93005e+06,s,NA
2819.49,6.93237e+06,e,2558.67
2819.49,6.93237e+06,s,NA
2822.13,6.93915e+06,e,2558.67
2825.19,6.94696e+06,e,2558.67
2825.8,6.94852e+06,e,2558.67
2828.74,6.95606e+06,e,2558.67
2828.74,6.95606e+06,s,NA
2831.07,6.96202e+06,e,2558.67
2831.65,6.9635e+06,e,2558.67
2833.92,6.96931e+06,e,2558.67
2833.92,6.96931e+06,p,NA
2838.41,6.98081e+06,e,2564.67
2838.41,6.98081e+06,s,NA
2840.02,6.98495e+06,p,2564.67
2851.52,7.01339e+06,p,2473.42
2851.52,7.01339e+06,s,NA
2933.97,7.21483e+06,e,2443.25
2933.97,7.21483e+06,s,NA
2933.97,7.21483e+06,s,NA
2933.97,7.21483e+06,s,NA
2933.97,7.21483e+06,p,NA
2940.07,7.22981e+06,p,2455.24
2969.9,7.29761e+06,e,2272.75
2969.9,7.29761e+06,s,NA
2969.9,7.29761e+06,s,NA
2969.9,7.29761e+06,s,NA
3012.63,7.39473e+06,e,2272.75
3012.63,7.39473e+06,s,NA
3014.68,7.39938e+06,e,2272.75
3014.68,7.39938e+06,s,NA
3024.24,7.42112e+06,e,2272.75
3024.24,7.42112e+06,s,NA
3032.98,7.44097e+06,e,2272.75
3032.98,7.44097e+06,s,NA
3073.04,7.53203e+06,e,2272.75
3073.04,7.53203e+06,s,NA
3120,7.63875e+06,p,2272.75
3121.84,7.64315e+06,e,2388.17
3121.84,7.64315e+06,s,NA
3127.11,7.65572e+06,e,2388.17
3127.11,7.65572e+06,e,NA
3127.11,7.65572e+06,e,NA
3127.11,7.65572e+06,s,NA
3127.11,7.65572e+06,s,NA
3143.79,7.69557e+06,e,2388.17
3143.79,7.69557e+06,s,NA
3160.48,7.73541e+06,e,2388.17
3160.48,7.73541e+06,s,NA
3160.48,7.73541e+06,s,NA
3160.48,7.73541e+06,s,NA
3169.73,7.75752e+06,e,2388.17
3169.73,7.75752e+06,s,NA
3238,7.92055e+06,e,2388.17
3238,7.92055e+06,s,NA
3247.26,7.94266e+06,e,2388.17
3247.26,7.94266e+06,s,NA
3248.99,7.94679e+06,e,2388.17
3256.51,7.96477e+06,e,2388.17
3256.51,7.96477e+06,s,NA
3258.24,7.9689e+06,e,2388.17
3263.12,7.98055e+06,e,2388.17
3263.12,7.98055e+06,s,NA
3268.06,7.99234e+06,e,2388.17
3268.06,7.99234e+06,s,NA
3271.52,8.0006e+06,p,2388.17
3274.67,8.00802e+06,e,2358
3274.67,8.00802e+06,s,NA
3292.62,8.05036e+06,e,2358
3292.62,8.05036e+06,p,NA
3298.72,8.06478e+06,p,2364
3300.92,8.06979e+06,e,2272.75
3300.92,8.06979e+06,s,NA
3300.92,8.06979e+06,s,NA
3301.43,8.07093e+06,e,2272.75
3304.92,8.07886e+06,e,2272.75
3304.92,8.07886e+06,e,NA
3304.92,8.07886e+06,s,NA
3308.91,8.08794e+06,e,2272.75
3310.6,8.09178e+06,e,2272.75
3318.43,8.10958e+06,s,2272.75
3325.04,8.1246e+06,e,2272.75
3325.2,8.12497e+06,e,2272.75
3325.2,8.12497e+06,s,NA
3335.55,8.14848e+06,e,2272.75
3335.55,8.14848e+06,s,NA
3335.55,8.14848e+06,s,NA
3335.55,8.14848e+06,s,NA
3335.55,8.14848e+06,s,NA
3356.38,8.19582e+06,e,2272.75
3356.38,8.19582e+06,e,NA
3356.38,8.19582e+06,p,NA
3356.38,8.19582e+06,p,NA
3362.48,8.20976e+06,p,2284.74
3362.48,8.20976e+06,p,NA
3416.26,8.32282e+06,e,2102.25
3416.26,8.32282e+06,s,NA
3416.26,8.32282e+06,s,NA
3416.26,8.32282e+06,s,NA
3416.26,8.32282e+06,s,NA
3419.46,8.32955e+06,e,2102.25
3419.46,8.32955e+06,s,NA
3420,8.33068e+06,p,2102.25
3527.56,8.56921e+06,e,2217.67
3527.56,8.56921e+06,s,NA
3557.21,8.63497e+06,e,2217.67
3557.21,8.63497e+06,s,NA
3557.21,8.63497e+06,s,NA
3563.49,8.6489e+06,e,2217.67
3563.49,8.6489e+06,s,NA
3571.52,8.66671e+06,p,2217.67
3571.52,8.66671e+06,s,NA
3580.78,8.68695e+06,e,2187.5
3600,8.72901e+06,p,2187.5
3601.35,8.73211e+06,e,2302.92
3601.35,8.73211e+06,s,NA
3601.35,8.73211e+06,s,NA
3625.57,8.78789e+06,e,2302.92
3625.57,8.78789e+06,s,NA
3626.08,8.78906e+06,e,2302.92
3626.08,8.78906e+06,s,NA
3642.76,8.82749e+06,e,2302.92
3645.72,8.83429e+06,e,2302.92
3645.72,8.83429e+06,e,NA
3652.05,8.84887e+06,e,2302.92
3652.05,8.84887e+06,s,NA
3663.43,8.87508e+06,e,2302.92
3663.43,8.87508e+06,s,NA
3668.51,8.88677e+06,e,2302.92
3668.51,8.88677e+06,s,NA
3700.85,8.96126e+06,e,2302.92
3700.85,8.96126e+06,s,NA
3700.85,8.96126e+06,s,NA
3700.85,8.96126e+06,s,NA
3706.79,8.97493e+06,e,2302.92
3706.79,8.97493e+06,s,NA
3706.79,8.97493e+06,s,NA
3751.52,9.07794e+06,p,2302.92
3751.52,9.07794e+06,s,NA
3760.78,9.09898e+06,e,2272.75
3768.87,9.11737e+06,e,2272.75
3768.87,9.11737e+06,e,NA
3768.87,9.11737e+06,s,NA
3768.87,9.11737e+06,p,NA
3768.87,9.11737e+06,s,NA
3774.97,9.13127e+06,p,2278.75
3788.54,9.16096e+06,e,2187.5
3788.54,9.16096e+06,s,NA
3788.54,9.16096e+06,s,NA
3802.74,9.19202e+06,e,2187.5
3802.74,9.19202e+06,e,NA
3802.74,9.19202e+06,s,NA
3805.94,9.19902e+06,e,2187.5
3805.94,9.19902e+06,s,NA
3868.02,9.33482e+06,e,2187.5
3868.02,9.33482e+06,s,NA
3877.05,9.35458e+06,e,2187.5
3891.25,9.38564e+06,e,2187.5
3891.25,9.38564e+06,s,NA
3894.5,9.39275e+06,e,2187.5
3894.5,9.39275e+06,s,NA
3929.14,9.46852e+06,e,2187.5
3934.31,9.47983e+06,e,2187.5
3934.31,9.47983e+06,s,NA
3938.3,9.48856e+06,e,2187.5
3938.3,9.48856e+06,s,NA
3942.29,9.4973e+06,e,2187.5
3953.33,9.52144e+06,e,2187.5
3956.58,9.52855e+06,e,2187.5
3956.58,9.52855e+06,s,NA
3966.15,9.54948e+06,e,2187.5
3966.15,9.54948e+06,s,NA
3966.15,9.54948e+06,s,NA
3966.65,9.55058e+06,e,2187.5
3966.65,9.55058e+06,s,NA
3987.83,9.59691e+06,e,2187.5
3987.83,9.59691e+06,s,NA
4048.86,9.73041e+06,e,2187.5
4048.86,9.73041e+06,s,NA
4076.34,9.79052e+06,e,2187.5
4079.07,9.7965e+06,e,2187.5
4079.07,9.7965e+06,s,NA
4079.07,9.7965e+06,s,NA
4085.68,9.81095e+06,e,2187.5
4085.68,9.81095e+06,s,NA
4092.29,9.82541e+06,e,2187.5
4092.29,9.82541e+06,s,NA
4098.9,9.83987e+06,e,2187.5
4105.55,9.85442e+06,e,2187.5
4107.6,9.85891e+06,e,2187.5
4137.37,9.92402e+06,e,2187.5
4137.37,9.92402e+06,s,NA
4146.94,9.94495e+06,e,2187.5
4146.94,9.94495e+06,s,NA
4146.94,9.94495e+06,s,NA
4146.94,9.94495e+06,s,NA
4146.94,9.94495e+06,s,NA
4146.94,9.94495e+06,s,NA
4256.68,1.0185e+07,e,2187.5
4256.68,1.0185e+07,e,NA
4256.68,1.0185e+07,s,NA
4256.68,1.0185e+07,s,NA
4257.02,1.01858e+07,e,2187.5
4257.02,1.01858e+07,s,NA
4287.89,1.02533e+07,e,2187.5
4287.89,1.02533e+07,e,NA
4287.89,1.02533e+07,s,NA
4287.89,1.02533e+07,s,NA
4294.44,1.02676e+07,e,2187.5
4294.44,1.02676e+07,s,NA
4301.05,1.02821e+07,e,2187.5
4320,1.03235e+07,p,2187.5
4326.1,1.03369e+07,p,2193.5
4344.37,1.03753e+07,e,2102.25
4344.37,1.03753e+07,s,NA
4344.37,1.03753e+07,s,NA
4362.46,1.04133e+07,e,2102.25
4362.46,1.04133e+07,s,NA
4397.97,1.0488e+07,e,2102.25
4397.97,1.0488e+07,s,NA
4426.93,1.05489e+07,e,2102.25
4426.93,1.05489e+07,e,NA
4426.93,1.05489e+07,s,NA
4426.93,1.05489e+07,s,NA
4428.84,1.05529e+07,e,2102.25
4428.84,1.05529e+07,e,NA
4428.84,1.05529e+07,s,NA
4428.84,1.05529e+07,s,NA
4436.18,1.05683e+07,e,2102.25
4436.18,1.05683e+07,s,NA
4445.44,1.05878e+07,e,2102.25
4448.05,1.05933e+07,s,2102.25
4457.31,1.06127e+07,e,2102.25
4457.31,1.06127e+07,s,NA
4466.56,1.06322e+07,e,2102.25
4496.31,1.06947e+07,e,2102.25
4496.31,1.06947e+07,s,NA
4496.31,1.06947e+07,s,NA
4547.21,1.08017e+07,e,2102.25
4547.21,1.08017e+07,s,NA
4569.79,1.08492e+07,e,2102.25
4569.79,1.08492e+07,s,NA
4569.79,1.08492e+07,s,NA
4584,1.08791e+07,e,2102.25
4584,1.08791e+07,s,NA
4584.82,1.08808e+07,e,2102.25
4584.82,1.08808e+07,s,NA
4619.93,1.09546e+07,e,2102.25
4619.93,1.09546e+07,s,NA
4628.26,1.09721e+07,e,2102.25
4628.26,1.09721e+07,s,NA
4634.9,1.09861e+07,e,2102.25
4634.9,1.09861e+07,s,NA
4634.9,1.09861e+07,s,NA
4658.3,1.10353e+07,e,2102.25
4658.3,1.10353e+07,s,NA
4673.33,1.10669e+07,e,2102.25
4673.33,1.10669e+07,s,NA
4696.98,1.11166e+07,e,2102.25
4696.98,1.11166e+07,s,NA
4706.92,1.11375e+07,e,2102.25
4706.92,1.11375e+07,s,NA
4730.85,1.11878e+07,e,2102.25
4730.85,1.11878e+07,s,NA
4740.53,1.12081e+07,e,2102.25
4740.53,1.12081e+07,s,NA
4746.81,1.12213e+07,e,2102.25
4759.06,1.12471e+07,e,2102.25
4759.06,1.12471e+07,s,NA
4761.84,1.12529e+07,e,2102.25
4761.84,1.12529e+07,s,NA
4771.87,1.1274e+07,e,2102.25
4771.87,1.1274e+07,s,NA
4775.85,1.12824e+07,e,2102.25
4775.85,1.12824e+07,s,NA
4775.86,1.12824e+07,e,2102.25
4775.86,1.12824e+07,s,NA
4782.46,1.12963e+07,e,2102.25
4782.46,1.12963e+07,s,NA
4792.55,1.13175e+07,e,2102.25
4792.55,1.13175e+07,s,NA
4792.55,1.13175e+07,s,NA
4795.43,1.13236e+07,e,2102.25
4795.43,1.13236e+07,s,NA
4802.61,1.13386e+07,e,2102.25
4802.61,1.13386e+07,s,NA
4819.36,1.13739e+07,e,2102.25
4821.14,1.13776e+07,e,2102.25
4821.14,1.13776e+07,s,NA
4827.75,1.13915e+07,e,2102.25
4827.75,1.13915e+07,s,NA
4844.54,1.14268e+07,e,2102.25
4844.54,1.14268e+07,s,NA
4854.23,1.14472e+07,e,2102.25
4854.23,1.14472e+07,s,NA
4871.02,1.14825e+07,e,2102.25
4871.02,1.14825e+07,s,NA
4877.63,1.14964e+07,e,2102.25
4877.63,1.14964e+07,s,NA
4883.94,1.15096e+07,e,2102.25
4884.53,1.15109e+07,s,2102.25
4891.13,1.15248e+07,e,2102.25
4894.06,1.15309e+07,e,2102.25
4894.06,1.15309e+07,s,NA
4902.79,1.15493e+07,e,2102.25
4910.74,1.1566e+07,e,2102.25
4910.74,1.1566e+07,s,NA
4916.31,1.15777e+07,e,2102.25
4916.31,1.15777e+07,s,NA
4920,1.15854e+07,p,2102.25
4927.43,1.16019e+07,e,2217.67
4932.99,1.16142e+07,e,2217.67
4933.5,1.16154e+07,e,2217.67
4933.5,1.16154e+07,e,NA
4939.71,1.16291e+07,e,2217.67
4943.56,1.16377e+07,e,2217.67
4943.56,1.16377e+07,s,NA
4945.12,1.16411e+07,e,2217.67
4945.12,1.16411e+07,s,NA
4945.12,1.16411e+07,s,NA
4945.12,1.16411e+07,s,NA
4956.27,1.16659e+07,e,2217.67
4967.4,1.16906e+07,s,2217.67
4974.01,1.17052e+07,e,2217.67
4981.05,1.17208e+07,e,2217.67
4991.56,1.17441e+07,e,2217.67
4991.56,1.17441e+07,s,NA
4993.92,1.17494e+07,e,2217.67
4993.92,1.17494e+07,s,NA
5019.82,1.18068e+07,e,2217.67
5019.82,1.18068e+07,s,NA
5022.43,1.18126e+07,e,2217.67
