time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0,0,0,0,31,1
4.70916,0,0,0,29,3
16.0039,0,0,0,28,4
38.8363,0,0,0,24,8
54.1959,0,0,0,23,9
70.3507,0,0,0,22,10
74.7683,0,0,0,26,6
88.51,0,0,0,27,5
95.4489,0,0,0,23,9
112.133,0,0,0,27,5
121.609,0,0,0,25,7
126.478,0,0,0,23,9
136.018,0,0,0,19,13
142.706,0,0,0,20,12
142.901,0,0,0,18,14
148.09,0,0,0,20,12
153.506,0,0,0,12,20
164.477,0,0,0,10,22
168.988,0,0,0,9,23
178.245,0,0,0,10,22
179.193,0,0,0,8,24
180,0,0,1,7,24
186.1,1,0,0,7,24
190.958,1,0,0,9,22
193.418,1,0,0,7,24
202.306,1,0,0,15,16
205.674,1,0,0,17,14
211.617,1,0,0,15,16
221.353,1,0,0,11,20
222.488,1,0,0,7,24
240,1,0,2,5,24
246.1,3,0,0,5,24
253.024,3,0,0,4,25
270.509,3,0,0,6,23
273.697,3,0,0,8,21
273.697,3,0,0,0,29
283.264,3,0,0,8,21
295.994,3,0,0,9,20
302.155,3,0,0,5,24
309.043,3,0,0,9,20
334.368,3,0,0,11,18
338.087,3,0,0,15,14
341.534,3,0,0,16,13
341.534,3,0,0,0,29
350.341,3,0,0,1,28
350.341,3,0,0,0,29
360,2,1,0,0,29
367.439,2,1,0,16,13
367.439,2,1,0,14,15
367.439,2,1,0,12,17
367.439,2,1,0,8,21
367.439,2,1,0,6,23
367.439,2,1,0,4,25
367.439,2,1,0,2,27
378.407,2,1,0,1,28
389.081,2,1,0,0,29
393.92,2,1,0,2,27
400.603,2,1,0,1,28
426.548,2,1,0,5,24
426.548,2,1,0,3,26
435.468,2,1,0,1,28
461.949,2,1,0,3,26
477.591,2,1,0,4,25
477.591,2,1,0,0,29
508.389,2,1,0,2,27
508.389,2,1,0,4,25
508.389,2,1,0,2,27
511.52,2,0,0,3,27
513.018,2,0,0,7,23
513.018,2,0,0,3,27
514.998,2,0,0,5,25
514.998,2,0,0,1,29
518.991,2,0,0,5,25
518.991,2,0,0,3,27
525.6,2,0,0,5,25
530.088,2,0,0,3,27
536.697,2,0,0,5,25
540,1,1,0,5,25
548.95,1,1,0,9,21
548.95,1,1,0,1,29
571.932,1,1,0,0,30
629.66,1,1,0,8,22
629.66,1,1,0,0,30
630.331,1,1,0,1,29
633.239,1,1,0,3,27
633.239,1,1,0,1,29
633.239,1,1,0,0,30
639.227,1,1,0,8,22
639.227,1,1,0,4,26
639.227,1,1,0,2,28
639.227,1,1,0,0,30
639.848,1,1,0,2,28
639.848,1,1,0,0,30
645.836,1,1,0,2,28
657.969,1,1,0,6,24
658.397,1,1,0,7,23
691.52,1,0,0,8,23
691.52,1,0,0,0,31
701.307,1,0,0,2,29
701.307,1,0,0,0,31
701.928,1,0,0,2,29
701.928,1,0,0,0,31
720.068,1,0,0,2,29
720.068,1,0,0,0,31
721.749,1,0,0,1,30
