time,machine_id,new_pstate
0,0-31,0
180,24,-2
186.1,24,13
240,25-26,-2
246.1,25-26,13
360,24,-1
511.52,24,0
540,25,-1
691.52,25,0
780,27,-2
786.1,27,13
840,13,-2
846.1,13,13
898.769,20,-2
900,2-3,-2
904.869,20,13
906.1,2-3,13
960,12 15-16 24,-2
966.1,12 15-16 24,13
1020,6 19 25 28-30,-2
1022.49,22-23,-2
1026.1,6 19 25 28-30,13
1028.59,22-23,13
1140,2,-1
1200,3 6,-1
1291.52,2,0
1351.52,3 6,0
1353.6,2,-2
1359.7,2,13
1440,2,-1
1500,12-13,-1
1560,15-16 19-20,-1
1591.52,2,0
1651.52,12-13,0
1711.52,15-16 19-20,0
1740,22,-1
1891.52,22,0
1980,23,-1
2131.52,23,0
2244.9,12,-2
2251,12,13
2340,12,-1
2491.52,12,0
2700,24,-1
2833.92,23,-2
2840.02,23,13
2851.52,24,0
2933.97,0-1,-2
2940.07,0-1,13
3120,0,-1
3271.52,0,0
3292.62,31,-2
3298.72,31,13
3356.38,12,-2
3356.38,21,-2
3362.48,12,13
3362.48,21,13
3420,1,-1
3571.52,1,0
3600,12,-1
3751.52,12,0
3768.87,14,-2
3774.97,14,13
4320,3,-2
4326.1,3,13
4920,3,-1
5071.52,3,0
5119.51,20,-2
5125.61,20,13
5460,14,-1
5520,20-21,-1
5611.52,14,0
5641.28,14,-2
5647.38,14,13
5671.52,20-21,0
5741.02,13 15,-2
5747.12,13 15,13
5820,13,-1
5971.52,13,0
6227.61,1,-2
6233.71,1,13
6300,1,-1
6451.52,1,0
6650.46,17,-2
6656.56,17,13
6720,14,-1
6871.52,14,0
6960,15,-1
7020,17 23,-1
7111.52,15,0
7171.52,17 23,0
7380,25,-1
7531.52,25,0
7558.33,10,-2
7564.43,10,13
7690.13,11,-2
7696.23,11,13
7920,10,-1
7980,11 26,-1
8071.52,10,0
8131.52,11 26,0
8160,27,-1
8220,28-29,-1
8311.52,27,0
8371.52,28-29,0
8377.41,14,-2
8383.51,14,13
8520,15,-2
8526.1,15,13
8912.98,16,-2
8919.08,16,13
9000,14,-1
9151.52,14,0
9180,15,-1
9331.52,15,0
9423.39,24,-2
9429.49,24,13
9900,16,-1
10026.3,14,-2
10032.4,14,13
10051.5,16,0
10140,14,-1
10291.5,14,0
10551.5,7,-2
10557.6,7,13
10560,21,-2
10566.1,21,13
10620,19,-2
10626.1,19,13
10740,7,-1
10891.5,7,0
10911.7,28,-2
10917.8,28,13
10987.4,15,-2
10993.5,15,13
11040,20,-2
11046.1,20,13
11049.2,2,-2
11055.3,2,13
11100,0-1,-2
11106.1,0-1,13
11160,3-4 6 8,-2
11166.1,3-4 6 8,13
11220,11-14 22 25-27,-2
11226.1,11-14 22 25-27,13
11280,17-18 29,-2
11286.1,17-18 29,13
11297.4,16 23,-2
11303.5,16 23,13
11419.8,9,-2
11425.9,9,13
11460,10,-2
11466.1,10,13
11520,5 7,-2
11526.1,5 7,13
16000,0,-1
16080,1,-1
16151.5,0,0
16231.5,1,0
16240,0,-2
16246.1,0,13
