date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
0,0,0,0
0,0,0,0
4.70916,0,0,0
4.70916,0,0,0
16.0039,0,0,0
16.0039,0,0,0
38.8363,0,0,0
38.8363,0,0,0
54.1959,0,0,0
54.1959,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
70.3507,0,0,0
70.3507,0,0,0
74.7683,0,0,0
74.7683,0,0,0
88.51,0,0,0
88.51,0,0,0
95.4489,0,0,0
95.4489,0,0,0
112.133,0,0,0
112.133,0,0,0
120,0,0,0
120,0,0,0
120,0,0,0
121.609,0,0,0
121.609,0,0,0
126.478,0,0,0
126.478,0,0,0
136.018,0,0,0
136.018,0,0,0
142.706,0,0,0
142.706,0,0,0
142.901,0,0,0
142.901,0,0,0
148.09,0,0,0
148.09,0,0,0
153.506,0,0,0
153.506,0,0,0
164.477,0,0,0
164.477,0,0,0
168.988,0,0,0
168.988,0,0,0
178.245,0,0,0
178.245,0,0,0
179.193,0,0,0
179.193,0,0,0
180,0,0,0
180,0,0,0
180,0,0,0
186.1,0,0,0
186.1,0,0,0
190.958,0,0,0
190.958,0,0,0
193.418,0,0,0
193.418,0,0,0
202.306,0,0,0
202.306,0,0,0
205.674,0,0,0
205.674,0,0,0
211.617,0,0,0
211.617,0,0,0
221.353,0,0,0
221.353,0,0,0
222.488,0,0,0
222.488,0,0,0
240,0,0,0
240,0,0,0
240,0,0,0
240.874,0,0,0
240.874,1,1456,190.811
246.1,1,1456,187.327
246.1,1,1456,187.327
253.024,1,1456,182.711
253.024,1,1456,281.234
265.241,1,1456,271.891
265.241,2,2056,307.185
270.509,2,2056,303.157
270.509,2,2056,286.898
273.697,2,2056,284.835
273.697,1,1456,277.08
283.264,1,1456,267.513
283.264,1,1456,146.562
283.879,1,1456,146.275
283.879,2,1890,261.924
290.504,2,1890,258.417
290.504,3,3654,347.769
295.994,3,3654,344.371
295.994,3,3654,337.465
300,3,3654,335.176
300,3,3654,335.176
300,3,3654,335.176
302.155,3,3654,333.945
302.155,3,3654,353.183
308.931,3,3654,348.02
308.931,4,4088,366.426
309.043,4,4088,366.336
309.043,4,4088,355.887
324.44,4,4088,346.032
324.44,5,4896,378.352
334.368,5,4896,371.999
334.368,5,4896,365.915
336.459,5,4896,364.744
336.459,6,5080,372.104
338.087,6,5080,371.192
338.087,6,5080,360.781
341.534,6,5080,359.403
341.534,5,3624,314.75
