time,energy,event_type,epower
0,0,p,NA
6.1,19714.6,p,3231.9
6.1,19714.6,p,NA
6.1,19714.6,p,NA
16.0039,27377.2,p,773.698
38.8363,55584.2,p,1235.4
54.1959,88742.4,p,2158.79
70.3507,140399,p,3197.61
95.4489,238035,p,3890.16
157.62,487066,p,4005.58
157.62,487066,p,NA
157.62,487066,s,NA
157.62,487066,s,NA
157.62,487066,s,NA
167.524,525542,p,3884.88
167.524,525542,s,NA
190.356,611487,p,3764.19
190.356,611487,s,NA
190.356,611487,s,NA
190.356,611487,s,NA
190.356,611487,s,NA
203.456,657634,e,3522.79
203.456,657634,s,NA
205.716,665596,p,3522.79
205.716,665596,s,NA
205.716,665596,s,NA
207.04,669902,e,3251.22
207.04,669902,s,NA
216.837,701754,e,3251.22
216.837,701754,s,NA
216.837,701754,s,NA
221.871,718119,p,3251.22
221.871,718119,s,NA
221.871,718119,s,NA
221.871,718119,s,NA
226.094,731086,e,3070.17
243.318,783966,e,3070.17
246.13,792599,e,3070.17
246.13,792599,s,NA
246.969,795174,p,3070.17
246.969,795174,p,NA
248.352,799387,e,3046
248.352,799387,p,NA
253.069,813812,p,3057.99
253.069,813812,p,NA
254.452,818074,p,3082.17
254.452,818074,p,NA
255.84,822260,e,3015.1
255.84,822260,s,NA
255.84,822260,s,NA
278.866,891686,e,3015.1
283.879,906801,s,3015.1
283.951,907016,e,3015.1
302.155,961904,s,3015.1
333.82,1.05738e+06,e,3015.1
333.82,1.05738e+06,s,NA
336.459,1.06533e+06,s,3015.1
338.087,1.07024e+06,e,3015.1
344.35,1.08913e+06,e,3015.1
346.187,1.09467e+06,p,3015.1
362.821,1.14674e+06,e,3130.52
362.94,1.14711e+06,e,3130.52
362.94,1.14711e+06,s,NA
372.507,1.17706e+06,e,3130.52
389.081,1.22895e+06,s,3130.52
404.589,1.27749e+06,p,3130.52
405.972,1.28178e+06,p,3100.35
423.42,1.33535e+06,e,3070.17
424.829,1.33968e+06,e,3070.17
435.468,1.37234e+06,s,3070.17
437.61,1.37892e+06,e,3070.17
461.949,1.45364e+06,e,3070.17
470.346,1.47942e+06,e,3070.17
470.346,1.47942e+06,s,NA
474.77,1.493e+06,e,3070.17
477.591,1.50166e+06,e,3070.17
496.246,1.55894e+06,e,3070.17
496.246,1.55894e+06,s,NA
496.246,1.55894e+06,s,NA
496.246,1.55894e+06,s,NA
496.251,1.55895e+06,e,3070.17
496.251,1.55895e+06,s,NA
496.251,1.55895e+06,s,NA
496.251,1.55895e+06,s,NA
496.251,1.55895e+06,s,NA
496.251,1.55895e+06,s,NA
496.251,1.55895e+06,s,NA
496.251,1.55895e+06,s,NA
497.707,1.56342e+06,p,3070.17
502.86,1.57909e+06,e,3040
502.86,1.57909e+06,p,NA
508.96,1.59771e+06,p,3051.99
510.722,1.60276e+06,p,2869.5
532.183,1.6693e+06,e,3100.35
532.183,1.6693e+06,s,NA
536.176,1.68168e+06,e,3100.35
536.176,1.68168e+06,s,NA
536.176,1.68168e+06,s,NA
542.785,1.70217e+06,e,3100.35
542.785,1.70217e+06,e,NA
545.978,1.71207e+06,s,3100.35
546.37,1.71328e+06,e,3100.35
552.587,1.73256e+06,e,3100.35
552.587,1.73256e+06,s,NA
571.932,1.79253e+06,s,3100.35
633.297,1.98279e+06,e,3100.35
633.297,1.98279e+06,s,NA
642.864,2.01245e+06,e,3100.35
642.864,2.01245e+06,s,NA
642.864,2.01245e+06,s,NA
642.864,2.01245e+06,s,NA
649.473,2.03294e+06,e,3100.35
649.473,2.03294e+06,s,NA
662.242,2.07253e+06,p,3100.35
662.242,2.07253e+06,s,NA
694.644,2.17103e+06,s,3040
704.944,2.20234e+06,e,3040
704.944,2.20234e+06,s,NA
711.553,2.22243e+06,e,3040
711.553,2.22243e+06,s,NA
718.162,2.24252e+06,e,3040
724.322,2.26125e+06,e,3040
724.322,2.26125e+06,s,NA
728.315,2.27339e+06,e,3040
728.315,2.27339e+06,s,NA
737.572,2.30153e+06,e,3040
737.983,2.30278e+06,e,3040
751.608,2.3442e+06,s,3040
762.046,2.37593e+06,e,3040
776.236,2.41907e+06,e,3040
776.241,2.41908e+06,e,3040
783.154,2.4401e+06,e,3040
783.154,2.4401e+06,s,NA
786.776,2.45111e+06,e,3040
786.776,2.45111e+06,s,NA
786.776,2.45111e+06,s,NA
786.781,2.45113e+06,e,3040
786.781,2.45113e+06,s,NA
786.781,2.45113e+06,s,NA
797.046,2.48233e+06,e,3040
797.046,2.48233e+06,s,NA
799.306,2.4892e+06,e,3040
799.306,2.4892e+06,p,NA
805.406,2.50782e+06,p,3051.99
805.406,2.50782e+06,p,NA
806.289,2.51045e+06,p,2984.92
813.688,2.53339e+06,e,3100.35
813.688,2.53339e+06,s,NA
813.688,2.53339e+06,s,NA
882.731,2.74745e+06,e,3100.35
882.731,2.74745e+06,s,NA
891.988,2.77615e+06,e,3100.35
902.198,2.80781e+06,e,3100.35
902.198,2.80781e+06,s,NA
908.807,2.8283e+06,e,3100.35
908.807,2.8283e+06,s,NA
908.807,2.8283e+06,s,NA
927.726,2.88695e+06,e,3100.35
927.731,2.88697e+06,e,3100.35
927.731,2.88697e+06,s,NA
933.394,2.90452e+06,e,3100.35
933.394,2.90452e+06,s,NA
933.394,2.90452e+06,s,NA
942.651,2.93322e+06,e,3100.35
942.651,2.93322e+06,s,NA
944.415,2.93869e+06,e,3100.35
944.415,2.93869e+06,s,NA
953.672,2.96739e+06,e,3100.35
955.76,2.97387e+06,s,3100.35
956.926,2.97748e+06,p,3100.35
957.809,2.98019e+06,p,3070.17
957.809,2.98019e+06,p,NA
958.412,2.98203e+06,e,3051.99
958.412,2.98203e+06,p,NA
962.234,2.99372e+06,e,3057.99
962.234,2.99372e+06,p,NA
963.909,2.99892e+06,p,3105.96
964.512,3.00069e+06,p,2923.47
967.053,3.00788e+06,p,2832.22
968.334,3.01166e+06,p,2947.65
968.334,3.01166e+06,p,NA
975.146,3.02755e+06,p,2333.1
994.423,3.07698e+06,p,2563.95
995.991,3.08154e+06,p,2910.22
997.317,3.08586e+06,e,3256.49
997.317,3.08586e+06,s,NA
997.317,3.08586e+06,p,NA
1006.57,3.11707e+06,e,3371.92
1006.57,3.11707e+06,s,NA
1052.58,3.27219e+06,e,3371.92
1052.58,3.27219e+06,s,NA
1052.58,3.2722e+06,e,3371.92
1062.85,3.30682e+06,e,3371.92
1062.85,3.30682e+06,s,NA
1074.34,3.34559e+06,e,3371.92
1074.34,3.34559e+06,s,NA
1079.53,3.36307e+06,e,3371.92
1079.53,3.36307e+06,s,NA
1083.6,3.3768e+06,e,3371.92
1083.6,3.3768e+06,s,NA
1089.84,3.39784e+06,e,3371.92
1089.84,3.39784e+06,e,NA
1089.84,3.39784e+06,s,NA
1089.84,3.39784e+06,s,NA
1093.68,3.41078e+06,e,3371.92
1093.68,3.41078e+06,s,NA
1096.45,3.42013e+06,e,3371.92
1118.57,3.49472e+06,p,3371.92
1119.85,3.49901e+06,p,3341.74
1119.85,3.49901e+06,s,NA
1123.85,3.51223e+06,e,3311.57
1123.85,3.51223e+06,s,NA
1126.67,3.52156e+06,p,3311.57
1126.67,3.52156e+06,s,NA
1145.94,3.58424e+06,p,3251.22
1145.94,3.58424e+06,s,NA
1147.51,3.58919e+06,p,3160.7
1148.84,3.59326e+06,p,3070.17
1148.84,3.59326e+06,p,NA
1152.55,3.60467e+06,e,3069.98
1154.94,3.61199e+06,p,3069.98
1162.61,3.63203e+06,p,2613.75
1177.53,3.67449e+06,s,2844.6
1177.53,3.67449e+06,p,NA
1184.14,3.69482e+06,e,3075.45
1188.75,3.70898e+06,e,3075.45
1208.77,3.77057e+06,s,3075.45
1224.55,3.8191e+06,e,3075.45
1231.47,3.84038e+06,e,3075.45
1231.47,3.84038e+06,s,NA
1232.01,3.84204e+06,p,3075.45
1234.63,3.85039e+06,e,3190.87
1234.63,3.85039e+06,s,NA
1235.25,3.85238e+06,e,3190.87
1241.04,3.87084e+06,e,3190.87
1241.04,3.87084e+06,s,NA
1241.04,3.87084e+06,s,NA
1246.29,3.8876e+06,e,3190.87
1246.29,3.8876e+06,s,NA
1246.91,3.88959e+06,s,3190.87
1267.06,3.95388e+06,s,3190.87
1273.07,3.97306e+06,s,3190.87
1282.33,4.0026e+06,e,3190.87
1287.15,4.01799e+06,s,3190.87
1295.29,4.04395e+06,e,3190.87
1296.41,4.04753e+06,e,3190.87
1314.13,4.10406e+06,p,3190.87
1319.82,4.12188e+06,s,3130.52
1326.43,4.14257e+06,e,3130.52
1329.05,4.15078e+06,p,3130.52
1332.57,4.16157e+06,e,3070.17
1383.53,4.31804e+06,p,3070.17
1383.53,4.31804e+06,s,NA
1387.24,4.32932e+06,e,3040
1387.24,4.32932e+06,s,NA
1393.05,4.347e+06,e,3040
1393.05,4.347e+06,p,NA
1399.15,4.36558e+06,p,3046
1414.38,4.41056e+06,e,2954.75
1414.38,4.41056e+06,s,NA
1414.38,4.41056e+06,p,NA
1420.12,4.42818e+06,e,3070.17
1420.12,4.42818e+06,s,NA
1420.12,4.42818e+06,s,NA
1420.12,4.42818e+06,s,NA
1420.12,4.42818e+06,s,NA
1446.6,4.50948e+06,e,3070.17
1464.24,4.56364e+06,e,3070.17
1464.24,4.56364e+06,s,NA
1464.24,4.56364e+06,s,NA
1464.24,4.56364e+06,s,NA
1500.43,4.67475e+06,e,3070.17
1500.43,4.67475e+06,s,NA
1521.03,4.73799e+06,e,3070.17
1521.03,4.73799e+06,s,NA
1526.9,4.75603e+06,e,3070.17
1530.28,4.76641e+06,e,3070.17
1530.64,4.76751e+06,s,3070.17
1561.07,4.86092e+06,e,3070.17
1565.9,4.87575e+06,p,3070.17
1565.9,4.87575e+06,s,NA
1582.58,4.92647e+06,e,3040
1582.58,4.92647e+06,s,NA
1619.15,5.03765e+06,e,3040
1619.15,5.03765e+06,s,NA
1628.41,5.06579e+06,e,3040
1628.41,5.06579e+06,s,NA
1637.67,5.09393e+06,e,3040
1643.32,5.11111e+06,e,3040
1643.32,5.11111e+06,s,NA
1643.32,5.11111e+06,s,NA
1653.54,5.14218e+06,e,3040
1667.23,5.1838e+06,e,3040
1667.93,5.18594e+06,e,3040
1667.93,5.18594e+06,s,NA
1674.3,5.20529e+06,s,3040
1683.43,5.23305e+06,e,3040
1704.91,5.29834e+06,e,3040
1704.91,5.29834e+06,s,NA
1708.9,5.31048e+06,e,3040
1723.1,5.35365e+06,e,3040
1723.1,5.35365e+06,s,NA
1730.04,5.37474e+06,e,3040
1730.04,5.37474e+06,s,NA
1734.52,5.38837e+06,e,3040
1734.52,5.38837e+06,s,NA
1744.23,5.41788e+06,e,3040
1744.23,5.41788e+06,s,NA
1760.43,5.46712e+06,e,3040
1760.43,5.46712e+06,s,NA
1760.43,5.46712e+06,s,NA
1760.43,5.46712e+06,s,NA
1760.43,5.46712e+06,s,NA
1760.43,5.46712e+06,s,NA
1764.37,5.47911e+06,s,3040
1770.98,5.4992e+06,e,3040
1775.97,5.51436e+06,s,3040
1786.91,5.54762e+06,e,3040
1786.91,5.54762e+06,s,NA
1800,5.58742e+06,p,3040
1802.45,5.59487e+06,e,3046
1806.1,5.606e+06,p,3046
1806.1,5.606e+06,p,NA
1813.39,5.62838e+06,e,3070.17
1838.38,5.7051e+06,s,3070.17
1848.12,5.735e+06,e,3070.17
1850.95,5.74371e+06,s,3070.17
1864.63,5.78571e+06,s,3070.17
1870.99,5.80523e+06,e,3070.17
1886.89,5.85403e+06,e,3070.17
1886.89,5.85403e+06,s,NA
1901.38,5.89852e+06,e,3070.17
1924.32,5.96895e+06,s,3070.17
1926.89,5.97684e+06,e,3070.17
1950.8,6.05025e+06,e,3070.17
1953.14,6.05745e+06,e,3070.17
1953.14,6.05745e+06,s,NA
1957.62,6.0712e+06,p,3070.17
1967.6,6.10152e+06,e,3040
1967.6,6.10152e+06,s,NA
1971.48,6.11334e+06,s,3040
1974.52,6.12256e+06,s,3040
1981.13,6.14265e+06,e,3040
1988.9,6.16629e+06,e,3040
1989.08,6.16682e+06,e,3040
1989.08,6.16682e+06,s,NA
1991.41,6.1739e+06,e,3040
1992.53,6.17731e+06,s,3040
1997.14,6.19134e+06,s,3040
2003.53,6.21075e+06,e,3040
2003.75,6.21143e+06,e,3040
2013.71,6.2417e+06,e,3040
2013.71,6.2417e+06,e,NA
2013.71,6.2417e+06,s,NA
2019.01,6.25781e+06,e,3040
2019.01,6.25781e+06,s,NA
