time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0,0,0,32,0,0
6.1,32,0,0,0,0
6.1,31,1,0,0,0
6.1,28,4,0,0,0
16.0039,24,8,0,0,0
38.8363,16,16,0,0,0
54.1959,7,25,0,0,0
70.3507,1,31,0,0,0
95.4489,0,32,0,0,0
157.62,0,28,0,4,0
157.62,0,28,0,4,0
157.62,0,28,0,3,1
157.62,0,28,0,1,3
157.62,0,28,0,0,4
167.524,0,24,0,4,4
167.524,0,24,0,0,8
190.356,0,16,0,8,8
190.356,0,16,0,4,12
190.356,0,16,0,2,14
190.356,0,16,0,1,15
190.356,0,16,0,0,16
203.456,0,16,0,4,12
203.456,0,16,0,2,14
205.716,0,7,0,11,14
205.716,0,7,0,7,18
205.716,0,7,0,5,20
207.04,0,7,0,9,16
207.04,0,7,0,1,24
216.837,0,7,0,3,22
216.837,0,7,0,1,24
216.837,0,7,0,0,25
221.871,0,1,0,6,25
221.871,0,1,0,4,27
221.871,0,1,0,2,29
221.871,0,1,0,0,31
226.094,0,1,0,1,30
243.318,0,1,0,3,28
246.13,0,1,0,4,27
246.13,0,1,0,0,31
246.969,0,0,0,1,31
246.969,0,0,1,0,31
248.352,0,0,1,2,29
248.352,0,0,3,0,29
253.069,1,0,2,0,29
253.069,0,1,2,0,29
254.452,2,1,0,0,29
254.452,1,2,0,0,29
255.84,1,2,0,8,21
255.84,1,2,0,7,22
255.84,1,2,0,3,26
278.866,1,2,0,4,25
283.879,1,2,0,2,27
283.951,1,2,0,4,25
302.155,1,2,0,0,29
333.82,1,2,0,4,25
333.82,1,2,0,2,27
336.459,1,2,0,0,29
338.087,1,2,0,4,25
344.35,1,2,0,5,24
346.187,0,3,0,5,24
362.821,0,3,0,7,22
362.94,0,3,0,9,20
362.94,0,3,0,1,28
372.507,0,3,0,9,20
389.081,0,3,0,8,21
404.589,0,2,0,9,21
405.972,0,1,0,10,21
423.42,0,1,0,12,19
424.829,0,1,0,14,17
435.468,0,1,0,12,19
437.61,0,1,0,13,18
461.949,0,1,0,15,16
470.346,0,1,0,16,15
470.346,0,1,0,0,31
474.77,0,1,0,2,29
477.591,0,1,0,3,28
496.246,0,1,0,7,24
496.246,0,1,0,6,25
496.246,0,1,0,2,29
496.246,0,1,0,0,31
496.251,0,1,0,16,15
496.251,0,1,0,15,16
496.251,0,1,0,14,17
496.251,0,1,0,10,21
496.251,0,1,0,8,23
496.251,0,1,0,4,27
496.251,0,1,0,2,29
496.251,0,1,0,0,31
497.707,0,0,0,1,31
502.86,0,0,0,3,29
502.86,0,0,2,1,29
508.96,2,0,0,1,29
510.722,0,2,0,1,29
532.183,0,2,0,5,25
532.183,0,2,0,1,29
536.176,0,2,0,5,25
536.176,0,2,0,3,27
536.176,0,2,0,1,29
542.785,0,2,0,3,27
542.785,0,2,0,5,25
545.978,0,2,0,3,27
546.37,0,2,0,7,23
552.587,0,2,0,9,21
552.587,0,2,0,1,29
571.932,0,2,0,0,30
633.297,0,2,0,8,22
633.297,0,2,0,0,30
642.864,0,2,0,8,22
642.864,0,2,0,4,26
642.864,0,2,0,2,28
642.864,0,2,0,0,30
649.473,0,2,0,2,28
649.473,0,2,0,1,29
662.242,0,0,0,3,29
662.242,0,0,0,1,31
694.644,0,0,0,0,32
704.944,0,0,0,2,30
704.944,0,0,0,0,32
711.553,0,0,0,2,30
711.553,0,0,0,0,32
718.162,0,0,0,2,30
724.322,0,0,0,4,28
724.322,0,0,0,0,32
728.315,0,0,0,4,28
728.315,0,0,0,3,29
737.572,0,0,0,4,28
737.983,0,0,0,5,27
751.608,0,0,0,3,29
762.046,0,0,0,5,27
776.236,0,0,0,6,26
776.241,0,0,0,7,25
783.154,0,0,0,8,24
783.154,0,0,0,0,32
786.776,0,0,0,4,28
786.776,0,0,0,2,30
786.776,0,0,0,0,32
786.781,0,0,0,4,28
786.781,0,0,0,2,30
786.781,0,0,0,0,32
797.046,0,0,0,2,30
797.046,0,0,0,0,32
799.306,0,0,0,2,30
799.306,0,0,2,0,30
805.406,2,0,0,0,30
805.406,1,1,0,0,30
806.289,0,2,0,0,30
813.688,0,2,0,2,28
813.688,0,2,0,1,29
813.688,0,2,0,0,30
882.731,0,2,0,1,29
882.731,0,2,0,0,30
891.988,0,2,0,1,29
902.198,0,2,0,2,28
902.198,0,2,0,0,30
908.807,0,2,0,2,28
908.807,0,2,0,1,29
908.807,0,2,0,0,30
927.726,0,2,0,2,28
927.731,0,2,0,4,26
927.731,0,2,0,0,30
933.394,0,2,0,4,26
933.394,0,2,0,3,27
933.394,0,2,0,1,29
942.651,0,2,0,2,28
942.651,0,2,0,0,30
944.415,0,2,0,4,26
944.415,0,2,0,3,27
953.672,0,2,0,4,26
955.76,0,2,0,0,30
956.926,0,1,0,1,30
957.809,0,0,0,2,30
957.809,0,0,2,0,30
958.412,0,0,2,1,29
958.412,0,0,3,0,29
962.234,0,0,3,8,21
962.234,0,0,11,0,21
963.909,2,0,9,0,21
964.512,3,0,8,0,21
967.053,2,1,8,0,21
968.334,10,1,0,0,21
968.334,9,2,0,0,21
975.146,7,4,0,0,21
994.423,4,7,0,0,21
995.991,1,10,0,0,21
997.317,1,10,0,1,20
997.317,1,10,0,0,21
997.317,0,11,0,0,21
1006.57,0,11,0,1,20
1006.57,0,11,0,0,21
1052.58,0,11,0,2,19
1052.58,0,11,0,1,20
1052.58,0,11,0,3,18
1062.85,0,11,0,5,16
1062.85,0,11,0,1,20
1074.34,0,11,0,3,18
1074.34,0,11,0,1,20
1079.53,0,11,0,5,16
1079.53,0,11,0,1,20
1083.6,0,11,0,3,18
1083.6,0,11,0,1,20
1089.84,0,11,0,3,18
1089.84,0,11,0,5,16
1089.84,0,11,0,3,18
1089.84,0,11,0,1,20
1093.68,0,11,0,2,19
1093.68,0,11,0,0,21
1096.45,0,11,0,2,19
