time,machine_id,new_pstate
0,0-31,0
0,0-31,-2
6.1,0-31,13
6.1,0,-1
6.1,1-3,-1
16.0039,4-7,-1
38.8363,8-15,-1
54.1959,16-24,-1
70.3507,25-30,-1
95.4489,31,-1
157.62,0,0
157.62,1-3,0
167.524,4-7,0
190.356,8-15,0
205.716,16-24,0
221.871,25-30,0
246.969,31,0
246.969,31,-2
248.352,25-26,-2
253.069,31,13
253.069,31,-1
254.452,25-26,13
254.452,25,-1
346.187,26,-1
404.589,31,0
405.972,25,0
497.707,26,0
502.86,30-31,-2
508.96,30-31,13
510.722,30-31,-1
662.242,30-31,0
799.306,18-19,-2
805.406,18-19,13
805.406,18,-1
806.289,19,-1
956.926,18,0
957.809,19,0
957.809,18-19,-2
958.412,29,-2
962.234,3 15-17 27-28 30-31,-2
963.909,18-19,13
964.512,29,13
967.053,18,-1
968.334,3 15-17 27-28 30-31,13
968.334,3,-1
975.146,15-16,-1
994.423,17 19 27,-1
995.991,28-30,-1
997.317,31,-1
1118.57,18,0
1119.85,3,0
1126.67,15-16,0
1145.94,17 19 27,0
1147.51,28-30,0
1148.84,31,0
1148.84,27-31,-2
1154.94,27-31,13
1162.61,27-28,-1
1177.53,29-30,-1
1232.01,31,-1
1314.13,27-28,0
1329.05,29-30,0
1383.53,31,0
1393.05,8,-2
1399.15,8,13
1414.38,8,-1
1565.9,8,0
1800,19,-2
1806.1,19,13
1806.1,19,-1
1957.62,19,0
2055.7,16 18-21 29-30,-2
2059.99,17,-2
2061.8,16 18-21 29-30,13
2062.31,8-9,-2
2062.31,12-13,-2
2066.09,17,13
2068.41,8-9,13
2068.41,12-13,13
2100,15 22 26,-2
2101.19,8,-1
2106.1,15 22 26,13
2106.1,9,-1
2120.68,12-13,-1
2129.14,15-18,-1
2130.71,19-21,-1
2135.16,22 26 29,-1
2149.22,30,-1
2252.71,8,0
2257.62,9,0
2272.2,12-13,0
2280.66,15-18,0
2282.23,19-21,0
2286.68,22 26 29,0
2300.74,30,0
2382.24,26,-2
2388.34,26,13
2450.51,26,-1
2602.03,26,0
2602.03,15-16 18-23 26,-2
2606.71,5 7,-2
2608.13,15-16 18-23 26,13
2612.81,5 7,13
2614.76,25 29,-2
2614.99,5 7,-1
2618.28,15-16 18-19,-1
2620.86,25 29,13
2620.86,20-23,-1
2623.39,25-26 29,-1
2766.51,5 7,0
2769.8,15-16 18-19,0
2772.38,20-23,0
2774.91,25-26 29,0
2774.91,29,-2
2781.01,29,13
2791.96,29,-1
2943.48,29,0
2943.48,10-16 27 29,-2
2949.58,10-16 27 29,13
2949.58,10-11,-1
2972.17,12-14,-1
2972.94,15-16,-1
2988.17,27 29,-1
3101.1,10-11,0
3123.69,12-14,0
3124.46,15-16,0
3139.69,27 29,0
3167.17,19,-2
3173.27,19,13
3187.55,14-16 24,-2
3193.65,14-16 24,13
3198.08,14-15,-1
3249.39,16,-1
3260.26,19,-1
3349.6,14-15,0
3400.91,16,0
3411.78,19,0
3411.78,9 12-17 19 22-23 27 29 31,-2
3417.88,9 12-17 19 22-23 27 29 31,13
3419.9,9,-1
3442.53,12-13,-1
3450.16,14-17 19 22,-1
3459.49,23-24 27 29,-1
3465.66,31,-1
3571.42,9,0
3594.05,12-13,0
3601.68,14-17 19 22,0
3611.01,23-24 27 29,0
3617.18,31,0
3627.93,23-24,-2
3634.03,23-24,13
3634.13,23-24,-1
3785.65,23-24,0
3785.65,22-24 27-30,-2
3788.41,1 4,-2
3791.75,22-24 27-30,13
3793.53,22-24 27,-1
3794.51,1 4,13
3794.51,1 4 28-29,-1
3945.05,22-24 27,0
3946.03,1 4 28-29,0
3946.03,1 4 22-24 27-29 31,-2
3952.13,1 4 22-24 27-29 31,13
3952.13,1 4,-1
3958.83,22-24,-1
3971.18,27-31,-1
4103.65,1 4,0
4110.35,22-24,0
4122.7,27-31,0
4122.7,31,-2
4128.8,31,13
4200,2-3 5-6 15-16 22-30,-2
4206.1,2-3 5-6 15-16 22-30,13
4206.1,2-3 5-6 15-16 22-31,-1
4357.62,2-3 5-6 15-16 22-31,0
4390.68,4-7 9 12-13 15-17 19-20,-2
4394.34,22,-2
4396.78,4-7 9 12-13 15-17 19-20,13
4397,4-5,-1
4400.44,22,13
4400.44,6-7,-1
4415.12,9 12-13,-1
4419.7,15,-1
4487.8,16-17 19-20,-1
4510.22,22,-1
4548.52,4-5,0
4551.96,6-7,0
4566.64,9 12-13,0
4571.22,15,0
4639.32,16-17 19-20,0
4661.74,22,0
4661.74,16-20 22 24 26-29,-2
4663.68,5-12,-2
4666,14-15,-2
4667.84,16-20 22 24 26-29,13
4669.78,5-12,13
4672.1,14-15,13
4681.37,21 23,-2
4686.67,5-6,-1
4687.47,21 23,13
4687.47,7-8,-1
4706.7,9-12 14-15,-1
4717.95,16-19,-1
4721.21,20-24 26,-1
4739.09,27-28,-1
4838.19,5-6,0
4838.99,7-8,0
4858.22,9-12 14-15,0
4869.47,16-19,0
4872.73,20-24 26,0
4890.61,27-28,0
4890.61,28,-2
4896.71,28,13
4896.71,28-29,-1
5048.23,28-29,0
5048.23,4-6 18-19 28-31,-2
5050.19,17,-2
5054.33,4-6 18-19 28-31,13
5054.33,4-6 18,-1
5056.22,19 28-30,-1
5056.29,17,13
5110.16,17 31,-1
5205.85,4-6 18,0
5207.74,19 28-30,0
5261.68,17 31,0
5261.68,17 29-31,-2
5267.75,2-3,-2
5267.78,17 29-31,13
5273.32,7-8,-2
5273.85,2-3,13
5275.96,0 9-10 14,-2
5278.66,2-3,-1
5279.42,7-8,13
5282.06,0 9-10 14,13
5346,0 7-10 14 17 29,-1
5358.72,30-31,-1
5430.18,2-3,0
5497.52,0 7-10 14 17 29,0
5510.24,30-31,0
5510.24,0 2-3 5 7-10 14 23 29-31,-2
5516.34,0 2-3 5 7-10 14 23 29-31,13
5516.34,0 2,-1
5519.48,3 5 7-10,-1
5530.15,14 23 29-30,-1
5588.51,31,-1
5667.86,0 2,0
5671,3 5 7-10,0
5681.67,14 23 29-30,0
5740.03,31,0
5740.03,31,-2
5746.13,31,13
5760.48,31,-1
5912,31,0
5912,3 5-6 22 25 27 31,-2
5918.1,3 5-6 22 25 27 31,13
5924.79,3 5,-1
6058.74,6 22 25 27,-1
6076.31,3 5,0
6210.26,6 22 25 27,0
6210.26,25 27,-2
6216.36,25 27,13
6223.67,25 27,-1
6375.19,25 27,0
6391.04,31,-1
6542.56,31,0
6542.56,29-31,-2
6542.88,7 19,-2
6548.48,22-23,-2
6548.66,29-31,13
6548.98,7 19,13
6551.69,7 19,-1
6554.58,22-23,13
6554.58,22-23,-1
6573.66,29-30,-1
6574.56,31,-1
6703.21,7 19,0
6706.1,22-23,0
6725.18,29-30,0
6726.08,31,0
6726.08,7 9-14 19-20 22-23 26-31,-2
6732.18,7 9-14 19-20 22-23 26-31,13
6732.18,7,-1
6738.91,9-11,-1
6752.61,12-14 19-20 22-23,-1
6766.39,26-31,-1
6883.7,7,0
6890.43,9-11,0
6904.13,12-14 19-20 22-23,0
6917.91,26-31,0
6927.42,22-23,-2
6933.52,22-23,13
6937.85,22,-1
6966.5,23,-1
7089.37,22,0
7118.02,23,0
7200,16,-2
7206.1,16,13
7206.1,16,-1
7357.62,16,0
7595.75,29,-2
7601.85,29,13
7630.21,24,-2
7636.31,24,13
7636.31,24 29,-1
7787.83,24 29,0
7787.83,29,-2
7790.73,24,-2
7793.93,29,13
7796.43,13 25,-2
7796.83,24,13
7800.03,20 28,-2
7802.53,13 25,13
7806.13,20 28,13
7807.76,13 20 24-25,-1
7817.76,28-29,-1
7959.28,13 20 24-25,0
7969.28,28-29,0
7979.63,17-18 20-21 24-29,-2
7985.73,17-18 20-21 24-29,13
7985.73,17-18,-1
7996.85,20-21 24-25,-1
8024.96,26,-1
8030.64,27,-1
8037.65,28,-1
8039.16,29,-1
8137.25,17-18,0
8148.37,20-21 24-25,0
8176.48,26,0
8182.16,27,0
8189.17,28,0
8190.68,29,0
8443.45,31,-2
8449.55,31,13
8458.89,31,-1
8610.41,31,0
8641.32,13 22-23 26,-2
8645.24,18-19,-2
8647.42,13 22-23 26,13
8648.11,27 30,-2
8648.15,13,-1
8651.34,18-19,13
8651.34,18,-1
8654.21,27 30,13
8654.21,19,-1
8656.21,22-23 26-27 30,-1
8799.67,13,0
8802.86,18,0
8805.73,19,0
8807.73,22-23 26-27 30,0
8807.73,26-27 30,-2
8813.83,26-27 30,13
8816.99,23,-2
8818.24,26-27,-1
8823.09,23,13
8969.76,26-27,0
8972.14,23 30,-1
9123.66,23 30,0
9123.66,30,-2
9129.76,30,13
9181.9,30,-1
9333.42,30,0
9333.42,25-26 28 30,-2
9339.52,25-26 28 30,13
9339.52,25-26 28 30,-1
9491.04,25-26 28 30,0
9491.04,25-26 28 30,-2
9492.32,20 29,-2
9497.14,25-26 28 30,13
9498.42,20 29,13
9502.26,0-1 11-12,-2
9503.94,20 25,-1
9508.36,0-1 11-12,13
9575.99,0-1,-1
9588.57,11,-1
9598.75,12 26 28,-1
9600,29-30,-1
9655.46,20 25,0
9727.51,0-1,0
9740.09,11,0
9750.27,12 26 28,0
9751.52,29-30,0
9751.52,11-12 23 25-26 28-31,-2
9757.62,11-12 23 25-26 28-31,13
