date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
0,0,0,0
0,1,154,476.1
4.70916,1,154,471.391
4.70916,2,962,1279.39
6.1,2,962,1278
6.1,2,962,436
16.0039,2,962,426.096
16.0039,3,1387,344.673
38.8363,3,1387,321.841
38.8363,4,1791,263.764
54.1959,4,1791,248.404
54.1959,5,1945,220.544
70.3507,5,1945,204.39
70.3507,6,2370,209.078
95.4489,6,2370,183.98
95.4489,7,2698,193.691
121.609,7,2698,167.53
121.609,8,2882,173.466
126.478,8,2882,168.597
126.478,9,4674,225.285
136.018,9,4674,215.745
136.018,10,6438,270.87
142.901,10,6438,263.987
142.901,11,8230,319.987
153.506,11,8230,309.383
153.506,12,9142,337.883
157.62,12,9142,333.768
157.62,11,8988,350.338
157.62,9,7755,333.644
164.477,9,7755,326.787
164.477,10,7939,333.131
167.524,10,7939,330.084
167.524,9,7535,320.708
168.988,9,7535,319.244
168.988,10,7610,321.83
179.193,10,7610,311.625
179.193,11,7794,317.97
190.356,11,7794,306.807
190.356,7,6703,316.649
193.418,7,6703,313.587
193.418,8,7137,330.279
203.456,8,7137,320.242
203.456,7,5345,284.479
205.716,7,5345,282.424
205.716,5,1789,177.096
207.04,5,1789,176.103
207.04,4,877,126.078
211.617,4,877,121.742
211.617,5,1133,135.092
216.837,5,1133,130.133
216.837,3,874,123.374
221.353,3,874,118.857
221.353,4,1486,149.665
221.871,4,1486,149.147
221.871,1,612,141.729
222.488,1,612,141.111
222.488,2,2376,256.486
226.094,2,2376,252.88
226.094,2,2376,249.593
240.874,2,2376,235.552
240.874,3,3832,308.352
243.318,3,3832,306.03
243.318,3,3832,299.478
246.13,3,3832,297.088
246.13,2,3220,310.289
246.969,2,3220,309.451
246.969,2,3220,327.943
248.352,2,3220,326.56
248.352,2,3220,359.672
253.024,2,3220,355
253.024,3,3374,364.49
253.069,3,3374,364.445
253.069,3,3374,352.369
254.452,3,3374,350.986
254.452,3,3374,340.209
255.84,3,3374,338.821
255.84,1,1456,209.042
265.241,1,1456,201.522
265.241,2,2056,241.522
278.866,2,2056,230.622
278.866,2,2056,226.256
283.879,2,2056,222.579
283.879,2,2056,251.513
283.951,2,2056,251.451
283.951,2,2056,242.662
290.504,2,2056,237.856
290.504,3,3820,407.305
300,3,3820,334.137
300,3,3820,399.216
302.155,3,3820,397.38
302.155,3,3820,412.343
308.931,3,3820,405.566
308.931,4,4254,421.641
324.44,4,4254,406.132
324.44,5,5062,436.057
333.82,5,5062,426.678
333.82,4,4628,417.002
336.459,4,4628,414.558
336.459,4,4628,421.373
338.087,4,4628,419.746
338.087,4,4628,410.106
344.35,4,4628,404.771
344.35,4,4628,402.345
