method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x
gantt;jobs.csv;40c67da4ccf8;1;0;0;0;0;128228;32;160%;35890;1.22;2.24;0;0;4096;214628;2.15;0;0;0;0;0;349;0
load;jobs.csv;40c67da4ccf8;1;0;0;0;0;141892;32;136%;38184;1.12;3.24;0;0;4096;91;3.20;0;0;0;0;0;367;0
gantt;jobs.csv;40c67da4ccf8;2;0;0;0;0;128036;32;161%;35773;1.20;2.27;0;0;4096;214527;2.15;0;0;0;0;0;367;0
load;jobs.csv;40c67da4ccf8;2;0;0;0;0;142120;32;136%;38234;1.08;3.21;0;0;4096;434770;3.15;0;0;0;0;0;368;0
gantt;jobs.csv;40c67da4ccf8;3;0;0;0;0;128040;32;161%;35733;1.22;2.23;0;0;4096;214625;2.13;0;0;0;0;0;351;0
load;jobs.csv;40c67da4ccf8;3;0;0;0;0;141716;32;136%;38282;1.04;3.25;0;0;4096;433788;3.13;0;0;0;0;0;357;0
gantt;jobs.csv;40c67da4ccf8;4;0;0;0;0;128360;32;152%;35691;1.27;2.55;0;0;4096;88;2.50;0;0;0;0;0;366;0
load;jobs.csv;40c67da4ccf8;4;0;0;0;0;141608;32;130%;38216;1.40;3.61;0;0;4096;167;3.85;0;0;0;0;0;356;0
gantt;jobs.csv;40c67da4ccf8;5;0;0;0;0;128504;32;151%;35755;1.61;2.38;0;0;4096;215017;2.63;0;0;0;0;0;357;0
load;jobs.csv;40c67da4ccf8;5;0;0;0;0;141368;32;136%;38422;1.14;3.23;0;0;4096;97;3.20;0;0;0;0;0;363;0
gantt;jobs.csv;40c67da4ccf8;6;0;0;0;0;127940;32;153%;35542;1.23;2.58;0;0;4096;94;2.49;0;0;0;0;0;363;0
load;jobs.csv;40c67da4ccf8;6;0;0;0;0;141948;32;134%;38568;1.24;3.34;0;0;4096;219985;3.40;0;0;0;0;0;361;0
gantt;jobs.csv;40c67da4ccf8;7;0;0;0;0;128332;32;161%;35755;1.24;2.23;0;0;4096;101;2.16;0;0;0;0;0;371;0
load;jobs.csv;40c67da4ccf8;7;0;0;0;0;141788;32;135%;38256;1.10;3.32;0;0;4096;90;3.26;0;0;0;0;0;365;0
